Estado,Date,Type,INY,EXT
Quintana Roo,2020-05-01,MEAS,0,0
San Luis Potosí,2020-05-01,MEAS,0,274.9392484
Sinaloa,2020-05-01,MEAS,0,188.9736452
Sonora,2020-05-01,MEAS,290.9702091,282.2023792
Tabasco,2020-05-01,MEAS,46.70532797,346.5575785
Tamaulipas,2020-05-01,MEAS,4033.448324,870.1653254
Tlaxcala,2020-05-01,MEAS,0,4.567400364
Veracruz,2020-05-01,MEAS,192.0409024,892.8508786
Yucatán,2020-05-01,MEAS,0,91.45092204
Zacatecas,2020-05-01,MEAS,0,7.824617562
Aguascalientes,2020-06-01,MEAS,0,11.09147206
Baja California,2020-06-01,MEAS,447.5069218,417.3269655
Baja California Sur,2020-06-01,MEAS,0,0
Campeche,2020-06-01,MEAS,0,0
Coahuila,2020-06-01,MEAS,40.39145709,198.6192086
Colima,2020-06-01,MEAS,235.9632,235.9632
Chiapas,2020-06-01,MEAS,757.3280309,71.78285902
Chihuahua,2020-06-01,MEAS,737.4428022,503.3127995
Ciudad de México,2020-06-01,MEAS,0,0
Durango,2020-06-01,MEAS,0,230.1782126
Guanajuato,2020-06-01,MEAS,0,343.3702855
Guerrero,2020-06-01,MEAS,0,0
Hidalgo,2020-06-01,MEAS,0,245.2833187
Jalisco,2020-06-01,MEAS,0,180.0396897
México,2020-06-01,MEAS,0,329.3473767
Michoacán,2020-06-01,MEAS,0,141.8063202
Morelos,2020-06-01,MEAS,0,8.011241252
Nayarit,2020-06-01,MEAS,0,0
Nuevo León,2020-06-01,MEAS,338.8598956,1015.068124
Oaxaca,2020-06-01,MEAS,0,17.52206384
Puebla,2020-06-01,MEAS,0,161.8949591
Querétaro,2020-06-01,MEAS,0,106.8091683
Quintana Roo,2020-06-01,MEAS,0,0
San Luis Potosí,2020-06-01,MEAS,0,298.9534623
Sinaloa,2020-06-01,MEAS,0,202.7638
Sonora,2020-06-01,MEAS,318.8967771,316.4415225
Tabasco,2020-06-01,MEAS,47.87884279,385.9666677
Tamaulipas,2020-06-01,MEAS,4431.717189,961.9091681
Tlaxcala,2020-06-01,MEAS,0,5.348339123
Veracruz,2020-06-01,MEAS,203.568389,844.6396865
Yucatán,2020-06-01,MEAS,0,93.69101396
Zacatecas,2020-06-01,MEAS,0,10.08596839
Aguascalientes,2020-07-01,MEAS,0,11.25709704
Baja California,2020-07-01,MEAS,532.5101376,497.9772287
Baja California Sur,2020-07-01,MEAS,0,0
Campeche,2020-07-01,MEAS,0,0
Coahuila,2020-07-01,MEAS,40.61106132,195.1833545
Colima,2020-07-01,MEAS,217.4723226,217.4723226
Chiapas,2020-07-01,MEAS,776.265656,77.30594674
Chihuahua,2020-07-01,MEAS,883.1607112,548.1711103
Ciudad de México,2020-07-01,MEAS,0,0
Durango,2020-07-01,MEAS,0,230.0040962
Guanajuato,2020-07-01,MEAS,0,381.8020267
Guerrero,2020-07-01,MEAS,0,0
Hidalgo,2020-07-01,MEAS,0,201.1152034
Jalisco,2020-07-01,MEAS,0,227.3088626
México,2020-07-01,MEAS,0,312.0431375
Michoacán,2020-07-01,MEAS,0,130.9557164
Morelos,2020-07-01,MEAS,0,7.983921034
Nayarit,2020-07-01,MEAS,0,0
Nuevo León,2020-07-01,MEAS,311.963137,1043.721624
Oaxaca,2020-07-01,MEAS,0,17.16721356
Puebla,2020-07-01,MEAS,0,186.7426471
Querétaro,2020-07-01,MEAS,0,105.6143752
Quintana Roo,2020-07-01,MEAS,0,0
San Luis Potosí,2020-07-01,MEAS,0,281.2065625
Sinaloa,2020-07-01,MEAS,0,202.892129
Sonora,2020-07-01,MEAS,365.8659682,366.7740461
Tabasco,2020-07-01,MEAS,47.80299695,382.2245579
Tamaulipas,2020-07-01,MEAS,4568.307479,1023.866918
Tlaxcala,2020-07-01,MEAS,0,6.097038984
Veracruz,2020-07-01,MEAS,217.4749882,883.3404488
Yucatán,2020-07-01,MEAS,0,94.8077808
Zacatecas,2020-07-01,MEAS,0,11.14349092
Aguascalientes,2020-08-01,MEAS,0,12.14931367
Baja California,2020-08-01,MEAS,606.1167826,551.3693588
Baja California Sur,2020-08-01,MEAS,0,0
Campeche,2020-08-01,MEAS,0,0
Coahuila,2020-08-01,MEAS,21.28893744,159.6437506
Colima,2020-08-01,MEAS,274.2076774,264.8141122
Chiapas,2020-08-01,MEAS,785.2229756,82.01388844
Chihuahua,2020-08-01,MEAS,926.9579753,597.3425275
Ciudad de México,2020-08-01,MEAS,0,0
Durango,2020-08-01,MEAS,0,242.5653192
Guanajuato,2020-08-01,MEAS,0,315.9859202
Guerrero,2020-08-01,MEAS,0,0
Hidalgo,2020-08-01,MEAS,0,180.8013145
Jalisco,2020-08-01,MEAS,0,222.1165317
México,2020-08-01,MEAS,0,299.8770398
Michoacán,2020-08-01,MEAS,0,120.6078096
Morelos,2020-08-01,MEAS,0,8.227120694
Nayarit,2020-08-01,MEAS,0,0
Nuevo León,2020-08-01,MEAS,356.9269693,1130.187201
Oaxaca,2020-08-01,MEAS,0,8.744872855
Puebla,2020-08-01,MEAS,0,198.3769138
Querétaro,2020-08-01,MEAS,0,103.657901
Quintana Roo,2020-08-01,MEAS,0,0
San Luis Potosí,2020-08-01,MEAS,0,256.5298426
Sinaloa,2020-08-01,MEAS,0,258.0014839
Sonora,2020-08-01,MEAS,384.9920208,390.812917
Tabasco,2020-08-01,MEAS,50.33693111,427.3970889
Tamaulipas,2020-08-01,MEAS,4484.939142,1047.364626
Tlaxcala,2020-08-01,MEAS,0,4.388466535
Veracruz,2020-08-01,MEAS,236.5517295,876.0824749
Yucatán,2020-08-01,MEAS,0,96.31728054
Zacatecas,2020-08-01,MEAS,0,11.4657195
Aguascalientes,2020-09-01,MEAS,0,12.54107839
Baja California,2020-09-01,MEAS,573.8704631,520.2850048
Baja California Sur,2020-09-01,MEAS,0,0
Campeche,2020-09-01,MEAS,0,0
Coahuila,2020-09-01,MEAS,39.28497757,203.4235078
Colima,2020-09-01,MEAS,240.1140116,235.1706654
Chiapas,2020-09-01,MEAS,784.5895327,81.4127026
Chihuahua,2020-09-01,MEAS,923.7944023,528.1527106
Ciudad de México,2020-09-01,MEAS,0,0
Durango,2020-09-01,MEAS,0,271.5074374
Guanajuato,2020-09-01,MEAS,0,352.8846166
Guerrero,2020-09-01,MEAS,0,0
Hidalgo,2020-09-01,MEAS,0,244.4487379
Jalisco,2020-09-01,MEAS,0,216.0562336
México,2020-09-01,MEAS,0,340.6737341
Michoacán,2020-09-01,MEAS,0,149.7150698
Morelos,2020-09-01,MEAS,0,8.602539528
Nayarit,2020-09-01,MEAS,0,0
Nuevo León,2020-09-01,MEAS,334.6740171,1112.004088
Oaxaca,2020-09-01,MEAS,0,34.35767951
Puebla,2020-09-01,MEAS,0,191.9807667
Querétaro,2020-09-01,MEAS,0,112.1521036
Quintana Roo,2020-09-01,MEAS,0,0
San Luis Potosí,2020-09-01,MEAS,0,268.0772749
Sinaloa,2020-09-01,MEAS,0,251.8446333
Sonora,2020-09-01,MEAS,324.8755712,317.7064814
Tabasco,2020-09-01,MEAS,54.06887441,422.9356144
Tamaulipas,2020-09-01,MEAS,4640.843496,973.0248746
Tlaxcala,2020-09-01,MEAS,0,5.621989468
Veracruz,2020-09-01,MEAS,173.3970763,862.7037757
Yucatán,2020-09-01,MEAS,0,92.03565109
Zacatecas,2020-09-01,MEAS,0,11.37272842
Aguascalientes,2020-10-01,MEAS,0,13.51568543
Baja California,2020-10-01,MEAS,485.9522763,481.9750258
Baja California Sur,2020-10-01,MEAS,0,0
Campeche,2020-10-01,MEAS,0,0
Coahuila,2020-10-01,MEAS,38.57366539,195.8121584
Colima,2020-10-01,MEAS,200.1559559,198.1838085
Chiapas,2020-10-01,MEAS,837.2711675,81.4756928
Chihuahua,2020-10-01,MEAS,1105.976135,473.6762856
Ciudad de México,2020-10-01,MEAS,0,0
Durango,2020-10-01,MEAS,0,564.0662871
Guanajuato,2020-10-01,MEAS,0,339.1377599
Guerrero,2020-10-01,MEAS,0,0
Hidalgo,2020-10-01,MEAS,0,237.3706975
Jalisco,2020-10-01,MEAS,0,205.836431
México,2020-10-01,MEAS,0,360.1955636
Michoacán,2020-10-01,MEAS,0,167.6426862
Morelos,2020-10-01,MEAS,0,9.031556276
Nayarit,2020-10-01,MEAS,0,0
Nuevo León,2020-10-01,MEAS,271.0400149,1098.337559
Oaxaca,2020-10-01,MEAS,0,28.00682419
Puebla,2020-10-01,MEAS,0,143.8688199
Querétaro,2020-10-01,MEAS,0,121.3184396
Quintana Roo,2020-10-01,MEAS,0,0
San Luis Potosí,2020-10-01,MEAS,0,294.2033302
Sinaloa,2020-10-01,MEAS,0,214.5243226
Sonora,2020-10-01,MEAS,371.3265902,365.9092224
