Fecha,Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12,Link13,Link14,Link15,Link16,Link17,Link18,Link19,Link20,Link21,Link22,Link23,Link24,Link25,Link26,Link27,Link28,Link29,Link30,Link31,Link32,Link33,Link34,Link35,Link36,Link37,Link38
2017-01-01,4047.40356,1278.12744,3359.468222,339.588907,819.979998,53.692231,110.162133,134.755347,421.324749,2739.065,44.312,312.299,5.901,0,245.665,0,0,1412.71,2126.704686,9.384594,3160.39,1963.803806,1160.597,336.243,284.478,0.34,158.262,90.134,3023.576,1209.4304,1451.31648,362.82912,5.175633,,1209.4304,1451.31648,362.82912,2303.295314
2017-02-01,4027.16096,1271.73504,3439.028013,231.714636,783.61664,55.677648,115.217948,137.706827,412.658848,2819.788,36.914,305.872,5.314,0,260.746,0,0,1431.343,2145.805803,3.67697,3232.447,2081.494382,1262.232,332.608,302.625,0.31,160.069,87.212,2942.926,1177.1704,1412.60448,353.15112,-5.965714,,1177.1704,1412.60448,353.15112,2465.194197
2017-03-01,4091.31104,1291.99296,3391.905669,287.910701,835.073299,56.546993,113.467346,134.411033,411.287661,2793.05,30.271,344.667,5.649,0,270.531,0,0,1177.282,1873.614375,3.611679,3204.338,1995.499071,1192.372,350.209,280.042,0.334,148.666,79.848,2778.201,1111.2804,1333.53648,333.38412,-2.14,,1111.2804,1333.53648,333.38412,2790.385625
2017-04-01,4053.52156,1280.05944,3391.507283,223.896866,801.14399,55.83944,108.918172,130.398005,410.727863,2806.856,38.341,320.815,5.318,0,319.699,0,0,832.176,1537.25993,8.540042,3217.584,1936.071314,1179.22,327.168,253.59,0.307,154.064,76.812,2569.828,1027.9312,1233.51744,308.37936,1.036318,,1027.9312,1233.51744,308.37936,2939.74007
2017-05-01,4027.39504,1271.80896,3359.258115,222.139509,819.946102,56.436365,104.486144,131.772647,408.843006,2758.679,38.15,331.98,5.82,0,308.28,0,0,1100.53,1790.076074,2.363542,3167.522,2019.39421,1222.5,342.182,276.574,0.336,153.711,81.699,2674.27,1069.708,1283.6496,320.9124,0.766774,,1069.708,1283.6496,320.9124,3055.923926
2017-06-01,3992.489,1260.786,3353.858135,197.713393,779.644577,56.713851,107.157343,129.471266,404.233145,2760.908,35.419,356.138,5.409,0,331.389,0,0,1080.11,1846.927861,15.847337,3165.141,1952.360269,1160.553,347.817,281.714,0.353,139.712,88.906,2778.753,1111.5012,1333.80144,333.45036,7.216612,,1111.5012,1333.80144,333.45036,3404.072139
2017-07-01,3964.35836,1251.90264,3327.257393,197.126634,773.210873,55.407069,102.916622,129.164983,388.374767,2746.938,31.217,307.077,4.292,0,321.521,0,0,1046.941,1711.048466,1.889641,3135.313,2045.8754,1227.901,360.63,295.681,0.325,143.137,88.313,2519.953,1007.9812,1209.57744,302.39436,12.625744,,1007.9812,1209.57744,302.39436,3475.951534
2017-08-01,3826.64636,1208.41464,3248.669312,134.246848,718.552455,51.924438,93.927067,122.158752,376.662037,2700.24,20.53,314.83,3.429,0,271.217,0,0,1074.741,1684.747265,0.148283,3076.902,1947.639644,1207.72,311.614,269.639,0.338,141.118,88.679,2514.25,1005.7,1206.84,301.71,-6.315457,,1005.7,1206.84,301.71,3573.252735
2017-09-01,3269.18484,1032.37416,3143.298883,147.813692,367.551307,49.23221,92.477405,121.646385,367.260422,2606.371,30.333,355.094,4.293,0,210.427,0,0,960.59,1560.7377,0.25958,2973.631,1798.424284,1120.347,274.248,255.096,0.303,131.131,84.947,2481.944,992.7776,1191.33312,297.83328,-9.443258,,992.7776,1191.33312,297.83328,3424.2623
2017-10-01,3616.66444,1142.10456,3090.615198,196.666951,591.669855,47.978416,95.494587,117.719792,368.77967,2536.804,30.744,362.967,4.978,0,294.527,0,0,862.915,1556.130861,0.699362,2905.584,1794.610613,1115.679,269.139,248.962,0.293,143.026,80.203,2370.39,948.156,1137.7872,284.4468,15.443226,,948.156,1137.7872,284.4468,3426.869139
