Date,NER1,NER2,NER3,NER4,NER5
2020-04-30,197341,92118,10,31548,92300
2020-05-01,131501,102651,0,25711,53352
2020-05-02,140304,124824,9,24930,56693
2020-05-03,187662,139601,9,24463,90115
2020-05-04,238828,136330,8,34232,117717
2020-05-05,250200,141630,73,37132,122628
2020-05-06,220059,140562,0,37775,78710
2020-05-07,197695,128058,0,37709,106756
2020-05-08,238643,86088,0,31223,120184
2020-05-09,228630,103912,27,28567,96191
2020-05-10,147594,128474,0,27794,68914
2020-05-11,228608,132190,0,33161,109778
2020-05-12,246507,143329,0,30222,121584
2020-05-13,202271,74872,0,32608,126029
2020-05-14,246321,140427,0,33893,124187
2020-05-15,244776,139058,0,30575,121843
2020-05-16,262879,136212,17347,26353,117269
2020-05-17,289520,140474,41441,26219,121630
2020-05-18,334345,123463,61279,32779,110797
2020-05-19,257941,128690,59547,32074,112689
2020-05-20,292923,141445,57083,31801,99755
2020-05-21,239439,141762,0,32229,119062
2020-05-22,238251,141332,15936,32463,119875
2020-05-23,250630,123312,0,29311,119233
2020-05-24,205472,116313,9540,28337,108052
2020-05-25,245067,124870,0,29920,103403
2020-05-26,245067,124870,0,29920,103403
2020-05-27,284661,133426,0,31504,118754
2020-05-28,364310,138310,73374,33306,122694
2020-05-29,356508,140648,62906,34085,123917
2020-05-30,292619,140641,9,29061,122959
2020-05-31,249749,118552,18,27625,112420
2020-06-01,315703,138586,24760,35717,117858
2020-06-02,373459,140760,58815,36788,117267
2020-06-03,364704,138520,69800,36925,121361
2020-06-04,375024,141443,76328,3551,124811
2020-06-05,347781,141762,37963,36263,133346
2020-06-06,278841,118743,25893,25287,100438
2020-06-07,327300,129744,47529,30370,108948
2020-06-08,375758,140744,69164,35453,117458
2020-06-09,331805,132118,67827,36148,107382
2020-06-10,356479,140570,60741,35813,118551
2020-06-11,366887,140843,71543,333983,118810
2020-06-12,383236,143784,74376,33029,122202
2020-06-13,299834,143703,0,31736,121791
2020-06-14,301688,138468,13914,30736,122883
2020-06-15,370081,144078,74017,37093,123072
2020-06-16,390009,143180,48855,39149,127463
2020-06-17,343205,143143,38625,37611,123953
2020-06-18,365411,142834,73613,36240,121159
2020-06-19,345422,132010,63362,36289,118528
2020-06-20,352548,132736,60718,31363,120829
2020-06-21,334807,140199,16202,28916,128895
2020-06-22,325276,140835,35063,37773,133334
2020-06-23,351993,140437,53869,38651,120265
2020-06-24,371134,140084,78592,35662,135849
2020-06-25,354369,142187,68578,37449,139572
2020-06-26,324465,123994,0,30985,104740
2020-06-27,265801,123760,0,19691,46938
2020-06-28,279711,135252,0,29643,126339
2020-06-29,304342,141322,0,36833,123360
2020-06-30,335278,141594,50553,35926,103341
2020-07-01,325445,140926,76479,35287,71357
2020-07-02,332870,140951,75515,36906,70858
2020-07-03,305698,142895,41552,34997,70959
2020-07-04,290763,142420,32403,30568,71144
2020-07-05,287432,142299,29659,28865,71227
2020-07-06,311869.5,142143,52710.5,36398.5,70677.5
2020-07-07,336307,141987,75762,43932,70128
2020-07-08,297594,141724,73701,43241,35465
2020-07-09,323219,141741,53530,40706,70286
2020-07-10,281031,141889,49873,41207,70360
2020-07-11,312601,142526,68207,35111,70832
2020-07-12,263657,142543,40190,33448,70740
2020-07-13,328392,142573,67293,43266,58877
2020-07-14,324060,142295,70799,42873,69964
2020-07-15,324123,141996,70057,41060,70191
2020-07-16,324166,141996,70057,41060,70191
2020-07-17,325166,141448,71717,39819,70451
2020-07-18,317161,141284,73006,33645,69761
2020-07-19,305999,140883,60657,33605,70048
2020-07-20,339306,141584,80411,42616,69513
2020-07-21,362107,141797,100271,37803,70174
2020-07-22,322496,141772,80750,37843,77442
2020-07-23,380412,141296,80807,41116,125723
2020-07-24,351617,129602,93876,36933,79612
2020-07-25,298478,141455,55805,34070,113742
2020-07-26,263865,122017,0,27713,102070
2020-07-27,249613,70500,16523,31340,105862
2020-07-28,270117,114940,0,38629,123394
2020-07-29,269036,142199,13719,40542,114015
2020-07-30,307542,140984,40294,37748,114341
