Date,TLA1,TLA2,TLA3,TLA4,TLA5,TLA6
2020-05-01,69842,0,0,0,395,0
2020-05-02,69601,0,0,0,241,0
2020-05-03,69199,0,0,0,401,0
2020-05-04,68925,0,0,0,274,0
2020-05-05,68524,0,0,0,401,0
2020-05-06,68297,0,0,0,227,0
2020-05-07,67894,0,0,0,404,0
2020-05-08,67646,0,0,0,247,0
2020-05-09,67361,0,0,0,285,0
2020-05-10,66953,0,0,0,408,0
2020-05-11,66733,0,0,0,220,0
2020-05-12,66294,0,0,0,439,0
2020-05-13,66108,0,0,0,186,0
2020-05-14,65688,0,0,0,420,0
2020-05-15,65451,0,0,0,236,0
2020-05-16,65132,0,0,0,320,0
2020-05-17,64891,0,0,0,240,0
2020-05-18,64451,0,0,0,441,0
2020-05-19,64229,0,0,0,222,0
2020-05-20,63801,0,0,0,428,0
2020-05-21,63746,0,0,0,55,0
2020-05-22,63312,0,0,0,434,0
2020-05-23,62874,0,0,0,438,0
2020-05-24,62483,0,0,0,392,0
2020-05-25,62046,0,0,0,437,0
2020-05-26,61763,0,0,0,283,0
2020-05-27,61346,0,0,0,416,0
2020-05-28,61051,0,0,0,296,0
2020-05-29,60846,0,0,0,205,0
2020-05-30,60615,0,0,0,231,0
2020-05-31,60191,0,0,0,424,0
2020-06-01,59780,0,0,0,411,0
2020-06-02,59553,0,0,0,227,0
2020-06-03,59102,0,0,0,451,0
2020-06-04,58974,0,0,0,128,0
2020-06-05,58600,0,0,0,374,0
2020-06-06,58233,0,0,0,367,0
2020-06-07,57780,0,0,0,453,0
2020-06-08,57611,0,0,0,169,0
2020-06-09,57144,0,0,0,467,0
2020-06-10,56864,0,0,0,280,0
2020-06-11,56449,0,0,0,415,0
2020-06-12,56182,0,0,0,267,0
2020-06-13,55798,0,0,0,384,0
2020-06-14,55633,0,0,0,165,0
2020-06-15,55236,0,0,0,397,0
2020-06-16,54845,0,0,0,391,0
2020-06-17,54568,0,0,0,278,0
2020-06-18,54416,0,0,0,152,0
2020-06-19,150841,0,101787,0,5361,0
2020-06-20,150423,0,0,0,418,0
2020-06-21,149942,0,0,0,482,0
2020-06-22,149525,0,0,0,417,0
2020-06-23,149042,0,0,0,483,0
2020-06-24,148654,0,0,0,388,0
2020-06-25,148181,0,0,0,473,0
2020-06-26,148030,0,0,0,151,0
2020-06-27,147488,0,0,0,542,0
2020-06-28,147251,0,0,0,237,0
2020-06-29,146808,0,0,0,443,0
2020-06-30,146331,0,0,0,478,0
2020-07-01,145885,0,0,0,446,0
2020-07-02,145568,0,0,0,317,0
2020-07-03,145188,0,0,0,379,0
2020-07-04,144891,0,0,0,298,0
2020-07-05,144451,0,0,0,440,0
2020-07-06,144273,0,0,0,178,0
2020-07-07,143831,0,0,0,442,0
2020-07-08,143674,0,0,0,157,0
2020-07-09,143214,0,0,0,460,0
2020-07-10,142841,0,0,0,373,0
2020-07-11,142670,0,0,0,170,0
2020-07-12,142263,0,0,0,408,0
2020-07-13,142153,0,0,0,110,0
2020-07-14,141700,0,0,0,452,0
2020-07-15,141252,0,0,0,448,0
2020-07-16,141021,0,0,0,231,0
2020-07-17,140619,0,0,0,402,0
2020-07-18,140474,0,0,0,145,0
2020-07-19,140038,0,0,0,436,0
2020-07-20,139576,0,0,0,461,0
2020-07-21,139387,0,0,0,190,0
2020-07-22,138942,0,0,0,445,0
2020-07-23,138716,0,0,0,226,0
2020-07-24,138251,0,0,0,465,0
2020-07-25,138113,0,0,0,137,0
2020-07-26,137658,0,0,0,455,0
2020-07-27,137248,0,0,0,410,0
2020-07-28,137075,0,0,0,173,0
