Date,KMMty1,KMMty2
2020-09-06,515607,0
2020-09-07,516582,0
2020-09-08,520084,0
2020-09-09,521469,0
2020-09-10,522643,0
2020-09-11,529656,0
2020-09-12,516863,0
2020-09-13,522036,0
2020-09-14,530392,0
2020-09-15,519311,0
2020-09-16,530808,0
2020-09-17,548404,0
2020-09-18,529745,0
2020-09-19,519769,0
2020-09-20,481677,0
2020-09-21,530494,0
2020-09-22,535343,0
2020-09-23,533521,0
2020-09-24,536989,0
2020-09-25,526694,0
2020-09-26,505115,0
2020-09-27,472251,0
2020-09-28,525954,0
2020-09-29,533458,0
2020-09-30,543006,0
2020-10-01,543931,0
2020-10-02,450920,0
2020-10-03,454962,0
2020-10-04,461814,0
2020-10-05,471022,0
2020-10-06,475639,0
2020-10-07,477063,0
2020-10-08,479885,0
2020-10-09,520870,0
2020-10-10,499078,0
2020-10-11,495867,0
2020-10-12,492244,0
2020-10-13,480175,0
2020-10-14,480191,0
2020-10-15,477556,0
2020-10-16,454108,0
2020-10-17,448846,0
2020-10-18,419937,0
2020-10-19,448235,0
2020-10-20,512135,0
2020-10-21,478738,0
2020-10-22,498704,0
2020-10-23,564994,0
2020-10-24,497966,0
2020-10-25,509314,0
2020-10-26,592047,0
2020-10-27,602255,0
2020-10-28,562385,0
2020-10-29,601989,0
2020-10-30,598947,0
2020-10-31,573285,0
2020-11-01,468892,0
2020-11-02,518999,0
2020-11-03,507286,0
2020-11-04,478414,0
2020-11-05,526967,0
2020-11-06,523483,0
2020-11-07,516684,0
2020-11-08,499263,0
2020-11-09,527033,0
2020-11-10,551209,0
2020-11-11,512933,0
2020-11-12,519301,0
2020-11-13,522186,0
2020-11-14,488008,0
2020-11-15,499953,0
2020-11-16,505382,0
2020-11-17,508760,0
2020-11-18,506747,0
2020-11-19,513042,0
2020-11-20,503042,0
2020-11-21,500438,0
2020-11-22,437042,0
2020-11-23,508888,0
2020-11-24,503159,0
2020-11-25,505718,0
2020-11-26,511185,0
2020-11-27,512915,0
2020-11-28,460623,0
2020-11-29,467821,0
2020-11-30,433499,0
2020-12-01,455941,0
2020-12-02,473324,0
2020-12-03,473662,0
2020-12-04,474020,0
2020-12-05,495574,0
2020-12-06,498803,0
2020-12-07,508478,0
2020-12-08,517029,0
2020-12-09,485256,0
2020-12-10,515070,0
2020-12-11,515279,0
2020-12-12,421676,0
2020-12-13,445369,0
2020-12-14,441662,0
2020-12-15,428745,0
2020-12-16,480087,0
2020-12-17,428240,0
2020-12-18,447584,0
2020-12-19,453825,0
2020-12-20,458552,0
2020-12-21,474128,0
2020-12-22,410672,0
2020-12-23,462419,0
2020-12-24,437668,0
2020-12-25,410469,0
2020-12-26,431234,0
2020-12-27,429888,0
2020-12-28,412450,0
2020-12-29,427696,0
2020-12-30,433215,0
2020-12-31,432255,0
2021-01-01,435648,0
2021-01-02,394602,0
2021-01-03,401140,0
2021-01-04,480261,0
2021-01-05,450439,0
2021-01-06,451948,0
2021-01-07,444891,0
2021-01-08,466252,0
2021-01-09,434485,0
2021-01-10,445770,0
2021-01-11,482631,0
2021-01-12,532076,0
2021-01-13,544903,0
2021-01-14,498839,0
2021-01-15,496069,0
2021-01-16,417960,0
2021-01-17,402131,0
2021-01-18,429798,0
2021-01-19,454917,0
2021-01-20,487182,0
2021-01-21,490702,0
2021-01-22,440500,0
2021-01-23,415803,0
2021-01-24,460774,0
2021-01-25,517934,0
2021-01-26,548770,0
2021-01-27,517562,0
2021-01-28,484904,0
2021-01-29,478205,0
2021-01-30,461224,0
2021-01-31,459827,0
2021-02-01,486113,0
2021-02-02,487260,0
2021-02-03,484674,0
2021-02-04,483896,0
2021-02-05,481057,0
2021-02-06,464126,0
2021-02-07,464635,0
2021-02-08,475193,0
2021-02-09,475106,0
2021-02-10,475625,0
2021-02-11,470603,0
2021-02-12,513699,0
2021-02-13,427959,0
2021-02-14,390821,0
2021-02-15,224777,0
2021-02-16,318182,0
2021-02-17,224318,0
2021-02-18,292805,0
2021-02-19,364762,0
2021-02-20,404945,0
2021-02-21,437411,0
2021-02-22,521232,0
2021-02-23,493699,0
2021-02-24,501749,0
2021-02-25,450236,0
2021-02-26,466586,0
2021-02-27,451000,0
2021-02-28,463611,0
2021-03-01,501367,0
2021-03-02,501348,0
2021-03-03,500412,0
2021-03-04,497025,0
2021-03-05,508599,0
2021-03-06,462939,0
2021-03-07,467497,0
2021-03-08,512966,0
2021-03-09,512601,0
2021-03-10,478555,0
2021-03-11,467207,0
2021-03-12,467676,0
2021-03-13,469885,0
2021-03-14,521636,0
2021-03-15,464644,0
2021-03-16,540267,0
2021-03-17,532121,0
2021-03-18,505078,0
2021-03-19,501413,0
2021-03-20,462046,0
2021-03-21,458532,0
2021-03-22,467642,0
2021-03-23,466539,0
2021-03-24,503333,0
2021-03-25,466656,0
2021-03-26,534864,0
2021-03-27,465310,0
2021-03-28,412283,0
2021-03-29,501808,0
2021-03-30,465582,0
2021-03-31,507662,0
2021-04-01,467511,0
2021-04-02,460442,0
2021-04-03,389491,0
2021-04-04,395522,0
2021-04-05,417465,0
2021-04-06,500048,0
2021-04-07,521157,0
2021-04-08,589666,0
2021-04-09,449383,0
2021-04-10,466189,0
2021-04-11,468024,0
2021-04-12,536721,0
2021-04-13,474847,0
2021-04-14,499684,0
2021-04-15,536436,0
2021-04-16,580156,0
2021-04-17,446846,0
2021-04-18,442573,0
2021-04-19,505818,0
2021-04-20,505945,0
2021-04-21,506060,0
2021-04-22,505230,0
2021-04-23,501505,0
2021-04-24,490962,0
2021-04-25,504991,0
2021-04-26,540901,0
2021-04-27,461436,0
2021-04-28,502688,0
2021-04-29,504526,0
2021-04-30,480422,0
2021-05-01,479594,0
2021-05-02,478667,0
2021-05-03,475223,0
2021-05-04,486470,0
2021-05-05,524325,0
2021-05-06,409961,0
2021-05-07,425335,0
2021-05-08,479641,0
2021-05-09,436412,0
2021-05-10,479116,0
2021-05-11,483471,0
2021-05-12,529399,0
2021-05-13,482832,0
2021-05-14,475968,0
2021-05-15,467859,0
2021-05-16,478013,0
