"","Date","node","volume"
"158",2024-04-12,"KM_Hueco",115.873887346
"159",2024-04-13,"SIS",107.5775108191
"160",2024-04-13,"KM_Hueco",111.8775346352
"161",2024-04-14,"SIS",86.5862059362
"162",2024-04-14,"KM_Hueco",111.8775346352
"163",2024-04-15,"SIS",114.7180725297
"164",2024-04-15,"KM_Hueco",108.115247756
"165",2024-04-16,"SIS",110.9710769156
"166",2024-04-16,"KM_Hueco",111.941242354
"167",2024-04-17,"SIS",116.8578255174
"168",2024-04-17,"KM_Hueco",115.873887346
"169",2024-04-18,"SIS",0
"170",2024-04-18,"KM_Hueco",0
"171",2024-04-19,"SIS",0
"172",2024-04-19,"KM_Hueco",0
"173",2024-04-20,"SIS",0
"174",2024-04-20,"KM_Hueco",0
"175",2024-04-21,"SIS",114.3965675009
"176",2024-04-21,"KM_Hueco",113.8761700817
"177",2024-04-22,"SIS",115.093785623
"178",2024-04-22,"KM_Hueco",111.9471752236
"179",2024-04-23,"SIS",11.8698357052
"180",2024-04-23,"KM_Hueco",211.6128512841
"181",2024-04-24,"SIS",37.2066144231
"182",2024-04-24,"KM_Hueco",190.7772842282
"183",2024-04-25,"SIS",19.5712654812
"184",2024-04-25,"KM_Hueco",206.1536930699
"185",2024-04-26,"SIS",14.9041453586
"186",2024-04-26,"KM_Hueco",206.9487682257
"187",2024-04-27,"SIS",32.0308213617
"188",2024-04-27,"KM_Hueco",180.3218375727
"189",2024-04-28,"SIS",37.3464959498
"190",2024-04-28,"KM_Hueco",170.3387250297
"191",2024-04-29,"SIS",18.000255737
"192",2024-04-29,"KM_Hueco",178.2624255275
"193",2024-04-30,"SIS",12.6732804449
"194",2024-04-30,"KM_Hueco",204.4469689336
"195",2024-05-01,"SIS",12.0686574662
"196",2024-05-01,"KM_Hueco",208.516705591
"197",2024-05-02,"SIS",21.8120891403
"198",2024-05-02,"KM_Hueco",196.1716752826
"199",2024-05-03,"SIS",38.3784621132
"200",2024-05-03,"KM_Hueco",206.5951974493
"201",2024-05-04,"SIS",10.4832040097
"202",2024-05-04,"KM_Hueco",214.1556862576
"203",2024-05-05,"SIS",11.3881785119
"204",2024-05-05,"KM_Hueco",211.574252317
"205",2024-05-06,"SIS",22.7255391705
"206",2024-05-06,"KM_Hueco",215.8724750834
"207",2024-05-07,"SIS",12.4570485368
"208",2024-05-07,"KM_Hueco",231.9617464593
"209",2024-05-08,"SIS",13.9477879679
"210",2024-05-08,"KM_Hueco",240.8765186979
"211",2024-05-09,"SIS",16.421688647
"212",2024-05-09,"KM_Hueco",235.8520138113
"213",2024-05-10,"SIS",19.4888409714
"214",2024-05-10,"KM_Hueco",236.851808283
"215",2024-05-11,"SIS",16.554471919
"216",2024-05-11,"KM_Hueco",232.5922904278
"217",2024-05-12,"SIS",11.4767124648
"218",2024-05-12,"KM_Hueco",232.5922904278
"219",2024-05-13,"SIS",12.7766818865
"220",2024-05-13,"KM_Hueco",232.5923257425
"221",2024-05-14,"SIS",22.5598425981
"222",2024-05-14,"KM_Hueco",234.9061802012
"223",2024-05-15,"SIS",33.8917647929
"224",2024-05-15,"KM_Hueco",223.1498459418
"225",2024-05-16,"SIS",19.5754679305
"226",2024-05-16,"KM_Hueco",228.1334917205
"227",2024-05-17,"SIS",24.1676855744
"228",2024-05-17,"KM_Hueco",230.314351019
"229",2024-05-18,"SIS",26.2150199922
"230",2024-05-18,"KM_Hueco",224.298845021
"231",2024-05-19,"SIS",35.2734171157
"232",2024-05-19,"KM_Hueco",225.3220531388
"233",2024-05-20,"SIS",43.6925122251
"234",2024-05-20,"KM_Hueco",217.7484625768
"235",2024-05-21,"SIS",61.8356159236
"236",2024-05-21,"KM_Hueco",229.4647852811
"237",2024-05-22,"SIS",36.1380975452
"238",2024-05-22,"KM_Hueco",230.5112657862
"239",2024-05-23,"SIS",36.9602943906
"240",2024-05-23,"KM_Hueco",253.0868234258
"241",2024-05-24,"SIS",41.5790333742
"242",2024-05-24,"KM_Hueco",250.8413029116
"243",2024-05-25,"SIS",30.6684861798
"244",2024-05-25,"KM_Hueco",244.3883537247
"245",2024-05-26,"SIS",24.0781274952
"246",2024-05-26,"KM_Hueco",239.5755251499
"247",2024-05-27,"SIS",38.5422870065
"248",2024-05-27,"KM_Hueco",244.4725439695
"249",2024-05-28,"SIS",76.2169977781
"250",2024-05-28,"KM_Hueco",199.4006748771
"251",2024-05-29,"SIS",31.3443742231
"252",2024-05-29,"KM_Hueco",247.5546697267
"253",2024-05-30,"SIS",39.6400797707
"254",2024-05-30,"KM_Hueco",249.1548140984
"255",2024-05-31,"SIS",36.7315963934
"256",2024-05-31,"KM_Hueco",249.6672303954
"257",2024-06-01,"SIS",34.8193053884
"258",2024-06-01,"KM_Hueco",215.393183975
"259",2024-06-02,"SIS",22.1434822851
"260",2024-06-02,"KM_Hueco",225.3130125756
"261",2024-06-03,"SIS",32.4432264283
"262",2024-06-03,"KM_Hueco",231.7780393899
"263",2024-06-04,"SIS",45.4331031587
"264",2024-06-04,"KM_Hueco",241.1798013415
"265",2024-06-05,"SIS",39.8147462769
"266",2024-06-05,"KM_Hueco",226.0964338804
"267",2024-06-06,"SIS",39.4607517241
"268",2024-06-06,"KM_Hueco",221.3626042895
"269",2024-06-07,"SIS",12.447019162
"270",2024-06-07,"KM_Hueco",244.775367522
"271",2024-06-08,"SIS",15.2482164807
"272",2024-06-08,"KM_Hueco",240.9892079056
"273",2024-06-09,"SIS",11.4251883175
"274",2024-06-09,"KM_Hueco",251.9244400753
"275",2024-06-10,"SIS",27.3347784998
"276",2024-06-10,"KM_Hueco",236.8489477923
"277",2024-06-11,"SIS",16.3549791787
"278",2024-06-11,"KM_Hueco",259.9843846857
"279",2024-06-12,"SIS",0
"280",2024-06-12,"KM_Hueco",0
"281",2024-06-13,"SIS",0
"282",2024-06-13,"KM_Hueco",0
"283",2024-06-14,"SIS",0
"284",2024-06-14,"KM_Hueco",0
"285",2024-06-15,"SIS",22.2917333957
"286",2024-06-15,"KM_Hueco",245.1124110188
"287",2024-06-16,"SIS",21.3564941956
"288",2024-06-16,"KM_Hueco",243.2179186226
"289",2024-06-17,"SIS",41.0518202179
"290",2024-06-17,"KM_Hueco",245.1124110188
"291",2024-06-18,"SIS",25.4658186317
"292",2024-06-18,"KM_Hueco",236.4980962478
"293",2024-06-19,"SIS",32.4429792254
"294",2024-06-19,"KM_Hueco",248.4460127547
"295",2024-06-20,"SIS",11.5953698568
"296",2024-06-20,"KM_Hueco",250.0015546603
"297",2024-06-21,"SIS",21.577634847
"298",2024-06-21,"KM_Hueco",244.4269526918
"299",2024-06-22,"SIS",0
"300",2024-06-22,"KM_Hueco",0
"301",2024-06-23,"SIS",0
"302",2024-06-23,"KM_Hueco",0
"303",2024-06-24,"SIS",27.8818385175
"304",2024-06-24,"KM_Hueco",232.63205478
"305",2024-06-25,"SIS",48.74134894
"306",2024-06-25,"KM_Hueco",215.8534404601
"307",2024-06-26,"SIS",43.9975959184
"308",2024-06-26,"KM_Hueco",222.5981243837
"309",2024-06-27,"SIS",21.7354562413
"310",2024-06-27,"KM_Hueco",216.501006114
"311",2024-06-28,"SIS",32.9259430626
"312",2024-06-28,"KM_Hueco",238.7562594246
"313",2024-06-29,"SIS",21.4143396742
"314",2024-06-29,"KM_Hueco",233.4181953167
"315",2024-06-30,"SIS",21.3898665871
"316",2024-06-30,"KM_Hueco",226.1070989198
"317",2024-07-01,"SIS",28.3732778827
"318",2024-07-01,"KM_Hueco",246.9245142199
"319",2024-07-02,"SIS",24.8907893716
"320",2024-07-02,"KM_Hueco",230.8371498378
"321",2024-07-03,"SIS",21.8735367183
"322",2024-07-03,"KM_Hueco",174.9005720316
"323",2024-07-04,"SIS",23.1687386555
"324",2024-07-04,"KM_Hueco",241.157729654
"325",2024-07-05,"SIS",14.6310214688
"326",2024-07-05,"KM_Hueco",240.1901421887
"327",2024-07-06,"SIS",19.9125114273
"328",2024-07-06,"KM_Hueco",223.5477366667
"329",2024-07-07,"SIS",19.9124407979
"330",2024-07-07,"KM_Hueco",234.798258478
"331",2024-07-08,"SIS",19.9822226451
"332",2024-07-08,"KM_Hueco",213.8414207423
"333",2024-07-09,"SIS",21.9235423335
"334",2024-07-09,"KM_Hueco",235.0945134963
"335",2024-07-10,"SIS",47.3446172403
"336",2024-07-10,"KM_Hueco",221.6172585912
"337",2024-07-11,"SIS",25.2095398538
"338",2024-07-11,"KM_Hueco",252.1270758239
"339",2024-07-12,"SIS",0
"340",2024-07-12,"KM_Hueco",0
"341",2024-07-13,"SIS",0
"342",2024-07-13,"KM_Hueco",0
"343",2024-07-14,"SIS",12.0339784308
"344",2024-07-14,"KM_Hueco",247.760519113
"345",2024-07-15,"SIS",31.4568515426
"346",2024-07-15,"KM_Hueco",228.2721372327
