Date,RMS,DMS FB,DMS IB
2020-04-23,687526.635,678756.538,7384.907
2020-04-24,549593.496,542318.71,6857.937
2020-04-25,486803.746,479575.887,7174.328
2020-04-26,494978.744,487752.991,7174.328
2020-04-27,509753.672,502442.185,7174.328
2020-04-28,340068.25,332627.622,7384.907
2020-04-29,413789.752,406349.124,7384.907
2020-04-30,410005.155,403629.429,6329.92
2020-05-01,481808.527,475431.731,6330.339
2020-05-02,380568.846,373661.297,6858.304
2020-05-03,6957.478,49.644,6858.304
2020-05-04,440224.215,433315.669,6858.304
2020-05-05,293317.452,286408.906,6858.304
2020-05-06,406200.244,400355.199,5802.374
2020-05-07,503025.638,496709.912,6224.537
2020-05-08,427707.145,421437.622,6224.537
2020-05-09,343554.003,337283.768,6224.537
2020-05-10,427707.145,421437.622,6224.537
2020-05-11,427807.145,421536.91,6224.537
2020-05-12,363643.535,357373.3,6224.537
2020-05-13,278283.104,272013.937,6224.537
2020-05-14,314024.687,314023.619,6013.979
2020-05-15,299290.508,299289.44,6013.979
2020-05-16,400317.096,394152.367,6119.782
2020-05-17,424922.224,418758.207,6119.782
2020-05-18,390415.245,384250.516,6119.782
2020-05-19,562098.955,555362.689,6224.537
2020-05-20,547623.963,540990.744,6224.537
2020-05-21,547849.838,541215.011,6224.537
2020-05-22,500653.767,494354.927,6224.537
2020-05-23,591692.385,584745.445,6224.537
2020-05-24,6319.167,49.644,6224.537
2020-05-25,581692.194,574816.445,6224.537
2020-05-26,581692.194,574816.445,6224.537
2020-05-27,442550.335,436598.729,5908.176
2020-05-28,414624.151,408725.298,5855.799
2020-05-29,472600.943,466649.337,5908.176
2020-05-30,490042.943,484091.337,5908.176
2020-05-31,472500.943,466550.049,5908.176
2020-06-01,547603,541483.978,6119.022
2020-06-02,622706.506,615582.935,6119.022
2020-06-03,576273.599,569448.685,6172.422
2020-06-04,558520.061,551829.756,6172.422
2020-06-05,565892.106,559145.906,6172.422
2020-06-06,565892.106,559145.906,6172.422
2020-06-07,587389.52,580427.972,6224.775
2020-06-08,572414.791,565566.782,6224.775
2020-06-09,706679.821,698866.158,6172.422
2020-06-10,679017.679,671361.4,6224.775
2020-06-11,759847.35,751578.214,6224.775
2020-06-12,758742.76,750481.999,6224.775
2020-06-13,531721.598,525182.128,6224.775
2020-06-14,542401.712,535781.265,6224.775
2020-06-15,487305.597,481033.075,6224.775
2020-06-16,525613.372,519120.215,6224.775
2020-06-17,466791.01,460412.117,6330.528
2020-06-18,490243.959,483864.308,6330.528
2020-06-19,500247.541,493840.957,6330.528
2020-06-20,516227.653,509699.907,6330.528
2020-06-21,532207.765,525558.856,6330.528
2020-06-22,517379.146,510842.668,6330.528
2020-06-23,536705.102,530022.094,6330.528
2020-06-24,543732.208,536995.92,6330.528
2020-06-25,602690.434,595507.12,6330.528
2020-06-26,553085.796,546278.588,6330.528
2020-06-27,476233.512,469801.487,6382.881
2020-06-28,477844.512,471412.866,6382.881
2020-06-29,503736.064,497250.676,6382.881
2020-06-30,453458.691,447026.666,6382.881
2020-07-01,511269.618,504718.317,6383.551
2020-07-02,517570.318,510942.699,6409.717
2020-07-03,508390.481,501835.989,6409.717
2020-07-04,488370.769,481907.989,6409.717
2020-07-05,479879.769,473418.582,6409.717
2020-07-06,500289.747,493799.785,6409.717
2020-07-07,585782.67,578611.669,6409.717
2020-07-08,644689.7,637075.61,6383.551
2020-07-09,628490.842,621005.793,6383.551
2020-07-10,653510.943,645805.65,6404.484
2020-07-11,653510.943,645805.65,6404.484
2020-07-12,653310.943,645607.243,6404.484
2020-07-13,638463.943,630759.446,6404.484
