Date,SAGU1,SAGU2,SAGU3,SAGU4,SAGU5,SAGU6,SAGU7
2020-08-11,150183,0,0,2927,0,66557,78856
2020-08-12,155704,0,0,2889,0,75018,73737
2020-08-13,202033,0,0,1000,0,113757,87256
2020-08-14,208360,0,0,1000,0,113738,93452
2020-08-15,189852,0,0,2000,0,107419,80264
2020-08-16,199529,0,0,2000,0,107419,89940
2020-08-17,199567,0,0,2000,0,107419,89978
2020-08-18,205736,0,0,2000,0,113738,89828
2020-08-19,198900,0,0,2000,0,101949,94782
2020-08-20,190066,0,0,2000,0,97935,90042
2020-08-21,181629,0,0,2000,0,84760,94782
2020-08-22,178476,0,0,2000,0,84767,91622
2020-08-23,168859,0,0,3267,0,84934,79633
2020-08-24,185332,0,0,2000,0,91622,91622
2020-08-25,195417,0,0,2000,0,103286,90042
2020-08-26,176700,0,0,2000,0,79831,94782
2020-08-27,200880,0,0,2000,0,108748,90042
2020-08-28,177690,0,0,2000,0,109255,66347
2020-08-29,132436,0,0,2000,0,118031,12322
2020-08-30,132879,0,0,2000,0,118474,12322
2020-08-31,132879,0,0,2000,0,118474,12322
2020-09-01,169175,0,0,3460,0,127955,37643
2020-09-02,132135,0,0,4068,0,90041,37913
2020-09-03,174594,0,0,3801,0,94851,75825
2020-09-04,168278,0,0,3737,0,74383,90042
2020-09-05,174974,0,0,3181,0,80448,91228
2020-09-06,163260,0,0,2911,0,88558,71119
2020-09-07,175033,0,0,3181,0,80507,91228
2020-09-08,166210,0,0,2876,0,89933,72993
2020-09-09,126316,0,0,3128,0,56729,66346
2020-09-10,171360,0,0,3262,0,82678,85303
2020-09-11,207093,0,0,3202,0,94772,108999
2020-09-12,179210,0,0,3045,0,67048,108999
2020-09-13,179341,0,0,3045,0,67179,108999
2020-09-14,179341,0,0,3045,0,67179,108999
2020-09-15,157328,0,0,3237,0,59653,94323
2020-09-16,169765,0,0,3127,0,66347,100174
2020-09-17,145399,0,0,3187,0,50187,91911
2020-09-18,83293,0,0,3142,0,80043,0
2020-09-19,132683,0,0,2926,0,129644,0
2020-09-20,132171,0,0,2926,0,129132,0
2020-09-21,132683,0,0,2926,0,129644,0
2020-09-22,125529,0,0,3151,0,122266,0
2020-09-23,148027,0,0,3213,0,144700,0
2020-09-24,145142,0,0,2904,0,142124,0
2020-09-25,124987,0,0,3222,0,121653,0
2020-09-26,128008,0,0,3101,0,124795,0
2020-09-27,128008,0,0,3101,0,124795,0
2020-09-28,128007,0,0,3101,0,124794,0
2020-09-29,116429,0,0,3201,0,113217,0
2020-09-30,116498,0,0,3170,0,113217,0
2020-10-01,136529,0,0,3200,0,108268,24998
2020-10-02,169192,0,0,4300,0,123216,41610
2020-10-03,174574,0,0,3900,0,75825,94782
2020-10-04,174574,0,0,3900,0,75825,94782
2020-10-05,174574,0,0,3900,0,75825,94782
2020-10-06,234860,0,0,4300,0,109167,121320
2020-10-07,227428,0,0,4300,0,89841,133215
2020-10-08,250897,0,0,4300,0,123307,123216
2020-10-09,258389,0,0,4300,0,132693,121321
2020-10-10,245915,0,0,3200,0,128903,113738
2020-10-11,245915,0,0,3200,0,128903,113738
2020-10-12,245915,0,0,3200,0,128903,113738
2020-10-13,252855,0,0,3200,0,128259,121321
2020-10-14,231887,0,0,3200,0,107294,121320
2020-10-15,257552,0,0,4800,0,132695,119282
2020-10-16,233941,0,0,4052,0,110757,118476
2020-10-17,230001,0,0,2194,0,106849,120373
2020-10-18,235185,0,0,2004,0,112271,120373
2020-10-19,234879,0,0,2002,0,111968,120373
2020-10-20,226991,0,0,3427,0,101365,121320
2020-10-21,240700,0,0,5200,0,115698,118477
2020-10-22,219864,0,0,5500,0,93714,118477
2020-10-23,259321,0,0,6000,0,141645,108999
2020-10-24,248814,0,0,5000,0,122662,118477
2020-10-25,244630,0,0,5000,0,118478,118477
2020-10-26,242820,0,0,6000,0,120407,113738
2020-10-27,216618,0,0,6000,0,94208,113738
2020-10-28,165187,0,0,6000,0,52260,104260
2020-10-29,153601,0,0,6617,0,54309,90042
2020-10-30,156960,0,0,6700,0,57551,90042
2020-10-31,193332,0,0,3386,0,114780,74561
2020-11-01,119715,0,0,4078,0,23684,90042
2020-11-02,119724,0,0,4078,0,23685,90042
2020-11-03,123766,0,0,7071,0,14218,99520
2020-11-04,175812,0,0,6982,0,61608,104260
2020-11-05,174229,0,0,6919,0,60088,104260
2020-11-06,178308,0,0,7126,0,59220,108999
2020-11-07,157829,0,0,5192,0,51901,99520
2020-11-08,192032,0,0,3518,0,98049,89569
2020-11-09,175923,0,0,5192,0,69993,99520
2020-11-10,195930,0,0,5109,0,85341,104260
2020-11-11,194200,0,0,5061,0,83660,104260
2020-11-12,204723,0,0,5459,0,93984,104260
2020-11-13,186841,0,0,3834,0,77729,104260
2020-11-14,204886,0,0,6796,0,93010,104260
2020-11-15,204886,0,0,6796,0,93010,104260
2020-11-16,204886,0,0,6796,0,91114,106155
2020-11-17,191554,0,0,7065,0,74471,108999
2020-11-18,160672,0,0,7165,0,62449,90042
2020-11-19,123055,0,0,7181,0,6520,106155
2020-11-20,161618,0,0,7011,0,42406,108999
2020-11-21,122837,0,0,5901,0,0,113738
2020-11-22,124154,0,0,5901,0,3686,111369
2020-11-23,125472,0,0,5901,0,7373,108999
2020-11-24,140178,0,0,7180,0,20799,108999
2020-11-25,123539,0,0,4128,0,0,116213
2020-11-26,110263,0,0,6900,0,0,100166
2020-11-27,106750,0,0,6900,0,0,96653
2020-11-28,109493,0,0,6900,0,0,99396
2020-11-29,110140,0,0,6900,0,0,100043
2020-11-30,110116,0,0,6900,0,0,100019
2020-12-01,122407,0,0,6505,0,0,112861
2020-12-02,112889,0,0,5465,0,0,104384
2020-12-03,113895,0,0,4181,0,0,106674
2020-12-04,151440,0,0,5814,0,38322,104260
2020-12-05,131784,0,0,5112,0,20189,104260
2020-12-06,146692,0,0,5112,0,35095,104260
2020-12-07,146199,0,0,5112,0,34603,104260
2020-12-08,136346,0,0,5561,0,28222,99520
2020-12-09,150273,0,0,5811,0,43798,99520
2020-12-10,111634,0,0,5248,0,0,105345
2020-12-11,112737,0,0,5682,0,0,106024
2020-12-12,126918,0,0,0,0,0,124104
2020-12-13,125150,0,0,0,0,0,122336
2020-12-14,117160.5,0,0,0,0,0,114346.5
2020-12-15,109171,0,0,0,0,0,106357
2020-12-16,114670,0,0,0,0,0,111856
2020-12-17,126640,0,0,0,0,0,123826
2020-12-18,123468,0,0,0,0,0,120654
2020-12-19,143959,0,0,0,0,10456,141145
2020-12-20,149270,0,0,0,0,44393,146456
2020-12-21,150050,0,0,0,0,45172,147236
2020-12-22,171816,0,0,0,0,36444,169002
2020-12-23,114638,0,0,0,0,0,111824
2020-12-24,109516,0,0,0,0,0,106702
2020-12-25,107924,0,0,0,0,0,105110
2020-12-26,107924,0,0,0,0,0,105110
2020-12-27,107924,0,0,0,0,0,105110
2020-12-28,107781,0,0,0,0,0,104967
2020-12-29,115081,0,0,0,0,0,112267
2020-12-30,114577,0,0,0,0,0,111763
2020-12-31,107747,0,0,0,0,0,104933
2021-01-01,108055.5,0,0,2694.5,0,0,103770.5
2021-01-02,108364,0,0,5389,0,0,102608
2021-01-03,108029,0,0,5389,0,0,102273
2021-01-04,96522,0,0,5389,0,0,90767
2021-01-05,92829,0,0,6435,0,0,85591
2021-01-06,109883,0,0,5935,0,0,102128
2021-01-07,128469,0,0,3121,0,2622,119697
2021-01-08,119435,0,0,3556,0,0,112806
2021-01-09,91899,0,0,3591,0,0,85243
2021-01-10,106063,0,0,3591,0,0,99406
2021-01-11,106063,0,0,3591,0,0,99406
2021-01-12,108316,0,0,3444,0,0,101813
2021-01-13,118184,0,0,6815,0,0,109714
2021-01-14,128140,0,0,6391,0,0,118597
2021-01-15,131168,0,0,5530,0,0,123770
2021-01-16,114729,0,0,5182,0,0,107780
2021-01-17,122207,0,0,5182,0,0,108336
2021-01-18,115336,0,0,5182,0,0,108387
2021-01-19,115310,0,0,5182,0,0,108361
2021-01-20,113254,0,0,4061,0,0,106155
2021-01-21,110751,0,0,3414,0,0,104254
2021-01-22,112557,0,0,3928,0,0,105555
2021-01-23,108095,0,0,3888,0,0,101100
2021-01-24,108095,0,0,3888,0,0,101100
2021-01-25,107903,0,0,3888,0,0,100908
2021-01-26,109512,0,0,3773,0,0,102641
2021-01-27,143120,0,0,3757,0,27330,108999
2021-01-28,140833,0,0,3682,0,24706,108999
2021-01-29,105543,0,0,2914,0,0,99520
2021-01-30,104551,0,0,2914,0,0,98528
2021-01-31,110428,0,0,2914,0,0,104405
2021-02-01,111879,0,0,5457,0,0,104260
2021-02-02,113268,0,0,6846,0,0,104260
2021-02-03,114828,0,0,6859,0,0,107606
2021-02-04,114828,0,0,6859,0,0,107606
2021-02-05,112758,0,0,6241,0,0,106154
2021-02-06,106081,0,0,4260,0,0,101460
2021-02-07,115242,0,0,4260,0,0,110620
2021-02-08,100583,0,0,4260,0,0,95962
2021-02-09,106606,0,0,5928,0,0,98516
2021-02-10,112331,0,0,5909,0,0,104260
2021-02-11,102385,0,0,6486,0,0,93738
2021-02-12,81443,0,0,0,0,0,81435
2021-02-13,100297,0,0,338,0,0,99811
2021-02-14,107227,0,0,5254,0,0,99811
2021-02-15,100812,0,0,5254,0,0,93397
2021-02-16,69562,0,0,338,0,0,69079
2021-02-17,95590,0,0,0,0,0,95580
2021-02-18,103625,0,0,0,0,0,103615
2021-02-19,104270,0,0,0,0,0,104260
2021-02-20,147618,0,0,4046,0,55133,87126
2021-02-21,145977,0,0,3937,0,50549,90069
2021-02-22,142684,0,0,4123,0,47841,89261
2021-02-23,154272,0,0,4800,0,52333,95376
2021-02-24,160333,0,0,4813,0,53661,100249
2021-02-25,167283,0,0,5348,0,60338,99724
2021-02-26,91009,0,0,4826,0,0,84024
2021-02-27,160252,0,0,4068,0,50720,104243
2021-02-28,166954,0,0,4407,0,56450,103924
2021-03-01,163813,0,0,4875,0,53089,104514
2021-03-02,152632,0,0,4840,0,28172,119063
2021-03-03,165716,0,0,4590,0,50993,109004
2021-03-04,166576,0,0,4632,0,50024,110393
2021-03-05,175681,0,0,4575,0,60394,109142
2021-03-06,171781,0,0,4488,0,58527,107170
2021-03-07,174530,0,0,4455,0,60221,108251
2021-03-08,172371,0,0,4586,0,60245,105932
2021-03-09,170548,0,0,5214,0,55517,107825
2021-03-10,165338,0,0,5109,0,51387,107037
2021-03-11,154052,0,0,5751,0,41364,104658
2021-03-12,145480,0,0,4898,0,39151,99352
2021-03-13,155166,0,0,3411,0,43890,105914
2021-03-14,149287,0,0,4050,0,34952,107864
2021-03-15,147408,0,0,4496,0,35169,105520
2021-03-16,141621,0,0,4689,0,28751,106133
2021-03-17,145436,0,0,4358,0,31173,107960
2021-03-18,106385,0,0,4840,0,0,84604
2021-03-19,71504,0,0,5312,0,0,63184
2021-03-20,156743,0,0,4264,0,48183,103679
2021-03-21,155358,0,0,4140,0,47829,106420
2021-03-22,151163,0,0,4472,0,44660,105107
2021-03-23,155367,0,0,5132,0,40698,111179
2021-03-24,114637,0,0,6240,0,0,104260
2021-03-25,143479,0,0,5112,0,34453,101711
2021-03-26,134682,0,0,4320,0,30219,98167
2021-03-27,113240,0,0,5312,0,0,104266
2021-03-28,108491,0,0,5312,0,0,99517
2021-03-29,115263,0,0,6584,0,0,104886
2021-03-30,123730,0,0,7173,0,0,113351
2021-03-31,146327,0,0,3774,0,37075,103805
2021-04-01,136068,0,0,3808,0,23401,105265
2021-04-02,135831,0,0,4026,0,26638,103254
2021-04-03,148992,0,0,4008,0,35245,109261
2021-04-04,153265,0,0,3792,0,44193,109000
2021-04-05,148470,0,0,4051,0,40710,107480
2021-04-06,130651,0,0,5559,0,0,123216
2021-04-07,113375,0,0,6397,0,0,104260
2021-04-08,113375,0,0,6397,0,0,104260
2021-04-09,161962,0,0,5374,0,0,151890
2021-04-10,161727,0,0,5374,0,0,151655
2021-04-11,156977,0,0,5374,0,0,146905
2021-04-12,128719,0,0,6434,0,0,118339
2021-04-13,138040,0,0,5686,0,0,127956
2021-04-14,133553,0,0,4032,0,20187,107189
2021-04-15,138231,0,0,6731,0,0,127956
2021-04-16,148337,0,0,4735,0,0,140592
2021-04-17,130294,0,0,4582,0,18016,105889
2021-04-18,148337,0,0,4735,0,0,140592
2021-04-19,130381,0,0,4621,0,20843,103990
2021-04-20,118758,0,0,6834,0,0,108379
2021-04-21,128856,0,0,7421,0,0,118477
2021-04-22,124116,0,0,7421,0,0,113738
2021-04-23,128122,0,0,4796,0,11965,108719
2021-04-24,150909,0,0,6432,0,0,141516
2021-04-25,162323,0,0,6432,0,0,152930
2021-04-26,175128,0,0,6585,0,0,167498
2021-04-27,188014,0,0,7173,0,0,180085
2021-04-28,187077,0,0,6706,0,0,180085
2021-04-29,100511,71095,0,5592,0,0,165870
2021-04-30,105605.25,66354.25,0,5077.25,0,9593,156359.25
2021-05-01,144332,66523,0,6894.25,0,15382,184931.5
2021-05-02,7070,194322,0,4717,0,23696,170606
2021-05-03,9152,255935,0,6206,0,56868,199042
2021-05-04,159155,68459,0,6328,0,23726,193852
2021-05-05,161062,66355,0,7421,0,23616,192676
2021-05-06,161062,66355,0,7421,0,23616,192676
2021-05-07,132887,66579,0,6428,0,18956,170473
2021-05-08,144332,66523,0,6894.25,0,15382,184931.5
2021-05-09,142626,66579,0,6428,0,18956,180178
2021-05-10,140753,66579,0,7300,0,0,196399
2021-05-11,161548,66579,0,7421,0,19045,197955
2021-05-12,129232,66578,0,7105,0,0,185111
2021-05-13,119186,7899,0,3301,0,5345,115727
2021-05-14,114307,7372,0,2597,0,4025,112916
2021-05-15,120026,0,0,2712,0,8710,108036
2021-05-16,113234,66578,0,6012,0,0,170258
2021-05-17,119643,91545,0,6716.5,0,11433.5,189389
2021-05-18,126052,116512,0,7421,0,22867,208520
2021-05-19,116983,108189.5,0,7051.5,0,11433.5,202991
2021-05-20,114823,101650.75,0,6866.75,0,5716.75,200223.5
2021-05-21,112980.25,104325.63,0,6889.75,0,8782.13,198051.63
2021-05-22,107914,99867,0,6682,0,0,197462
2021-05-23,112663,95112,0,6682,0,0,197456
2021-05-24,111137.5,107000.5,0,6912.75,0,11847.5,195879.75
2021-05-25,133761,123645,0,7168,0,47390,199040
2021-05-26,90212,109378,0,7119,0,0,189561
2021-05-27,111986.5,116511.5,0,7143.5,0,23695,194300.5
2021-05-28,101099.25,112944.75,0,7131.25,0,11847.5,191930.75
