Date,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12
2019-07-05,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-06,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-13,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-23,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-26,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-27,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,1190977,31259,51599,5,3790,2188,104026,861,107375,395,0,882705
2019-08-02,1188226,31154,51598,3,3448,2168,104048,524,105224,406,0,887585
2019-08-03,1102439,31181,49261,194,3370,2549,46435,558,90157,386,0,881074
2019-08-04,1116749,31186,44407,0,3419,2544,85873,518,104217,316,0,847145
2019-08-05,1187368,31156,51459,0,3498,2067,103893,439,103352,396,0,878123
2019-08-06,1200205,31211,75592,0,3006,2292,104261,566,99753,453,0,879986
2019-08-07,1198258,31124,84511,0,893,2602,103969,422,104420,453,0,870222
2019-08-08,1199535,31140,92930,0,3056,2230,103753,895,103188,414,0,864758
2019-08-09,1202792,31195,78282,0,3227,2202,100082,520,103038,327,0,865956
2019-08-10,1176849,31203,50523,0,3213,2527,98878,502,96841,183,0,881799
2019-08-11,1147309,31094,47701,0,3235,2564,87258,450,93516,439,0,876825
2019-08-12,1157269,31098,57769,2,3328,2033,98798,443,103208,497,0,868539
2019-08-13,1161670,31080,52322,38,3198,2057,99065,468,108607,390,0,875452
2019-08-14,1197299,29712,91154,68,3166,2509,102500,457,108282,415,0,862439
2019-08-15,1213841,31132,93222,86,2985,2524,102690,434,106485,503,0,871893
2019-08-16,1222504,31080,76033,58,3057,1741,106150,374,103015,426,0,879023
2019-08-17,1165743,31226,42407,157,3173,2389,97189,528,91951,270,0,882381
2019-08-18,1142712,31110,46577,28,3086,2393,98563,411,88929,289,0,876398
2019-08-19,1163936,31096,43471,112,3052,1810,92963,426,98707,503,0,879814
2019-08-20,1159413,31171,47648,177,2970,1548,109994,335,103850,526,0,878767
2019-08-21,1163147,31190,50892,149,2985,2016,103893,346,104231,466,0,875954
2019-08-22,1207515,31154,50450,159,2978,2391,103853,362,105322,504,0,883762
2019-08-23,1205551,31145,81531,82,2436,2469,104986,383,103182,384,0,874233
2019-08-24,1181842,31109,72678,29,3093,2476,102484,357,97589,281,0,869448
2019-08-25,1148632,31046,52950,4,2842,2503,93637,386,95372,345,0,872671
2019-08-26,1188310,31051,91126,8,2703,2217,102424,392,103403,498,0,872023
2019-08-27,1205170,30985,83689,59,3165,2138,103769,347,103842,461,0,873995
2019-08-28,1209881,31087,86646,316,3302,1978,109299,378,108717,425,0,869502
2019-08-29,1197772,31104,82846,568,3291,901,103805,464,105379,431,0,865722
2019-08-30,1183558,31117,54798,399,3428,1934,109778,479,98730,193,0,872722
2019-08-31,0,0,0,0,0,2673,100915,565,95667,136,0,877444
2019-09-01,1154611,31074,47127,311,3337,2689,95337,620,91715,429,0,873563
2019-09-02,1142431,30980,45859,425,2824,2519,87227,629,103494,521,0,872169
2019-09-03,1154422,30957,42172,306,2971,2117,106819,609,108076,505,0,871415
2019-09-04,1165760,30963,42797,286,2495,2590,108351,539,102763,564,0,868380
2019-09-05,1170265,31049,45042,219,3108,2212,108547,483,102748,544,0,871646
2019-09-06,1174339,30767,48392,189,2962,2293,108613,528,102354,474,0,872709
2019-09-07,1169959,31050,46927,397,2736,2604,101847,528,96051,343,0,873990
2019-09-08,1139002,31045,44276,63,3026,2630,87929,511,91312,504,0,878324
2019-09-09,1165019,31071,40272,396,3073,2184,100477,485,107502,624,0,873270
2019-09-10,1151893,31031,44704,461,3020,2072,93214,505,105212,558,0,866056
2019-09-11,1118382,31015,44322,267,3747,2516,78080,512,97365,544,0,877294
2019-09-12,1143834,31077,46355,212,4237,2061,77048,551,98295,570,0,876264
2019-09-13,1152232,31071,48527,207,3960,2186,75527,622,96357,406,0,876511
2019-09-14,1125098,31056,39056,268,3852,2527,70217,686,90858,263,0,881472
2019-09-15,1083674,31079,45582,190,3962,2326,45753,672,90864,250,0,862242
2019-09-16,1102602,31006,46670,512,3984,2019,83766,700,88375,420,0,865093
2019-09-17,1132952,32706,39522,647,2911,2154,106402,673,108552,574,0,854292
2019-09-18,1201616,31174,92485,370,513,2490,103936,623,108973,584,0,864512
2019-09-19,1186179,30993,48873,342,3526,2059,107473,527,108671,514,0,871985
2019-09-20,1208809,30972,73316,461,3904,2192,97623,676,108719,418,0,872755
2019-09-21,1111482,30996,34779,480,4030,2505,95309,671,105455,272,0,834205
2019-09-22,1109506,31043,47517,566,4003,2222,71493,683,103465,336,0,862058
