Date,MYK1,MYK2,MYK3,MYK4,MYK5,MYK6,MYK8,MYK9,MYK10,MYK11,MYK12,MYK15,MYK16,MYK18
2019-04-22,84357,0,0,0,0,58538,8191,341,1126,1126,299,0,0,538
2019-04-23,66677,0,0,0,0,45382,8674,351,1180,696,178,0,0,831
2019-04-24,56177,0,0,0,0,23459,8270,318,1099,695,357,0,0,450
2019-04-25,105574,0,0,0,0,84025,8114,263,186,570,85,0,0,235
2019-04-26,114270,0,0,0,0,75637,8237,23,406,5,62,0,0,122
2019-04-27,53394,0,0,0,0,81563,7324,277,1247,510,336,0,0,250
2019-04-28,108555,0,0,0,0,84730,7318,281,1279,499,165,0,0,158
2019-04-29,100240,0,0,0,0,84726,6856,309,1255,562,106,0,0,285
2019-04-30,105474,0,0,0,0,80181,6914,310,851,642,537,0,0,204
2019-05-01,25346,47,0,0,0,11395,6967,832,1009,742,1035,0,0,301
2019-05-02,62177,226,0,0,0,11089,8520,896,1332,784,996,0,0,797
2019-05-03,55599,0,0,0,0,30499,8283,903,1187,754,1035,0,0,986
2019-05-04,51495,0,0,19,0,30481,8294,825,442,326,1131,0,0,1086
2019-05-05,38917,0,0,1725,0,30475,7743,580,263,79,1079,0,0,1216
2019-05-06,57800,0,0,24274,0,30448,7027,856,1315,688,1053,0,0,1233
2019-05-07,54352,0,0,12069,0,30365,6926,903,1418,802,518,0,0,914
2019-05-08,60129,0,0,32444,0,30364,7084,881,1367,770,1431,0,0,572
2019-05-09,44917,0,0,32386,0,40749,7068,822,1292,767,1783,0,0,725
2019-05-10,72987,1,0,32506,0,30388,6743,414,1144,772,1933,0,0,1116
2019-05-11,74905,0,0,32510,0,21827,8119,872,368,370,1832,0,0,945
2019-05-12,59050,0,0,14965,0,10506,7836,625,286,63,942,0,0,968
2019-05-13,66437,0,0,11891,0,51758,7370,824,1269,634,1205,0,0,938
2019-05-14,91289,0,0,4,0,63803,8278,863,1349,755,1020,0,0,348
2019-05-15,60435,0,0,0,0,61288,8334,864,1397,775,1500,0,0,435
2019-05-16,92327,0,0,82,0,49204,8370,833,1266,758,1744,0,0,835
2019-05-17,33771,186,0,432,0,43394,7755,887,1130,556,1795,0,0,811
2019-05-18,47924,139,0,29,0,44614,6433,829,544,566,849,0,0,854
2019-05-19,66129,0,0,0,0,58346,6261,638,287,68,327,0,0,966
2019-05-20,86090,0,0,18,0,58881,7265,851,1268,668,296,0,0,1125
2019-05-21,50332,0,0,177,0,56004,7830,843,1318,731,474,0,0,480
2019-05-22,76675,0,0,0,0,56054,8062,861,1273,720,256,0,0,444
2019-05-23,45676,0,0,76,0,49752,8190,856,1224,776,323,0,0,1042
2019-05-24,71805,0,0,0,0,51654,7849,826,1078,754,571,0,0,910
2019-05-25,52160,0,0,0,0,48596,7266,797,440,351,326,0,0,1125
2019-05-26,72868,0,0,0,0,48163,7588,627,499,78,412,0,0,803
2019-05-27,24214,0,0,0,0,35710,7517,881,1322,701,1036,0,0,1127
2019-05-28,70902,0,0,0,0,35251,7654,860,1357,745,1497,0,0,1105
2019-05-29,58843,0,0,24,0,45035,8398,837,1209,669,1792,0,0,513
2019-05-30,76425,0,0,50,0,49877,8063,879,1147,718,1981,0,0,718
2019-05-31,68524,0,0,20,0,51535,7059,841,1042,762,1977,0,0,1135
2019-06-01,60450,0,0,0,0,46283,6736,790,140,442,1940,0,0,1148
2019-06-02,63624,0,0,0,0,48383,6765,614,210,80,1107,0,0,868
