Date,HER1
2020-11-06,5.358
2020-11-07,3.628
2020-11-08,3.871
2020-11-09,5.885
2020-11-10,6.291
2020-11-11,6.632
2020-11-12,6.233
2020-11-13,5.86
2020-11-14,4.137
2020-11-15,4.177
2020-11-16,4.289
2020-11-17,5.198
2020-11-18,6.109
2020-11-19,5.3
2020-11-20,5.665
2020-11-21,3.987
2020-11-22,4.464
2020-11-23,5.243
2020-11-24,5.738
2020-11-25,5.897
2020-11-26,5.722
2020-11-27,6.306
2020-11-28,4.015
2020-11-29,4.685
2020-11-30,5.889
2020-12-01,6.709
2020-12-02,6.842
2020-12-03,6.727
2020-12-04,6.112
2020-12-05,4.815
2020-12-06,4.708
2020-12-07,6.197
2020-12-08,6.309
2020-12-09,5.773
2020-12-10,5.892
2020-12-11,6.169
2020-12-12,5.064
2020-12-13,4.82
2020-12-14,6.132
2020-12-15,5.813
2020-12-16,4.504
2020-12-17,4.716
2020-12-18,4.356
2020-12-19,4.443
2020-12-20,4.75
2020-12-21,6.613
2020-12-22,6.191
2020-12-23,4.763
2020-12-24,2.18
2020-12-25,1.945
2020-12-26,2.662
2020-12-27,4.027
2020-12-28,4.74
2020-12-29,4.005
2020-12-30,4.103
2020-12-31,3.099
2021-01-01,1.944
2021-01-02,2.754
2021-01-03,3.998
2021-01-04,5.454
2021-01-05,5.677
2021-01-06,5.659
2021-01-07,6.212
2021-01-08,4.309
2021-01-09,3.738
2021-01-10,4.613
2021-01-11,5.569
2021-01-12,6.193
2021-01-13,5.47
2021-01-14,4.886
2021-01-15,4.912
2021-01-16,3.876
2021-01-17,3.969
2021-01-18,5.687
2021-01-19,4.915
2021-01-20,4.951
2021-01-21,5.029
2021-01-22,4.803
2021-01-23,3.878
2021-01-24,4.116
2021-01-25,5.611
2021-01-26,6.322
2021-01-27,6.893
2021-01-28,6.436
2021-01-29,5.359
2021-01-30,4.545
2021-01-31,3.725
2021-02-01,3.924
2021-02-02,5.146
2021-02-03,6.477
2021-02-04,5.557
2021-02-05,6.221
2021-02-06,5.249
2021-02-07,4.658
2021-02-08,5.86
2021-02-09,6.083
2021-02-10,6.718
2021-02-11,6.473
2021-02-12,5.832
2021-02-13,4.197
2021-02-14,4.842
2021-02-15,5.131
2021-02-16,0.456
2021-02-17,0
2021-02-18,3.829
2021-02-19,4.009
2021-02-20,3.965
2021-02-21,3.572
2021-02-22,4.599
2021-02-23,6.265
2021-02-24,6.482
2021-02-25,6.435
2021-02-26,5.856
2021-02-27,4.274
2021-02-28,4.316
2021-03-01,5.742
2021-03-02,5.79
2021-03-03,5.939
2021-03-04,5.808
2021-03-05,5.876
2021-03-06,4.872
2021-03-07,4.656
2021-03-08,5.499
2021-03-09,5.297
2021-03-10,6.88
2021-03-11,5.699
2021-03-12,6.193
2021-03-13,5.019
2021-03-14,3.955
2021-03-15,5.544
2021-03-16,5.668
2021-03-17,6.789
2021-03-18,6.033
2021-03-19,6.038
2021-03-20,4.451
2021-03-21,4.496
2021-03-22,5.656
2021-03-23,5.854
2021-03-24,5.954
2021-03-25,6.208
2021-03-26,6.029
2021-03-27,3.864
2021-03-28,4.553
2021-03-29,5.347
2021-03-30,5.458
2021-03-31,4.843
2021-04-01,3.587
2021-04-02,3.474
2021-04-03,3.092
2021-04-04,3.574
2021-04-05,5.266
2021-04-06,5.185
2021-04-07,4.853
2021-04-08,5.866
2021-04-09,5.386
2021-04-10,4.243
2021-04-11,3.832
2021-04-12,5.796
2021-04-13,4.85
2021-04-14,6.187
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,3.832
2021-05-02,4.27
2021-05-03,4.022
2021-05-04,4.188
2021-05-05,6.64
2021-05-06,6.222
2021-05-07,4.588
2021-05-08,3.95
2021-05-09,3.824
2021-05-10,5.6
2021-05-11,4.921
2021-05-12,7.035
2021-05-13,5.604
2021-05-14,6.235
2021-05-15,4.46
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,6.037684386
2021-06-02,5.893330002
2021-06-03,6.337224303
2021-06-04,6.361056935
2021-06-05,4.515140333
2021-06-06,4.826881609
2021-06-07,6.233501456
2021-06-08,6.695884574
2021-06-09,5.244759242
2021-06-10,5.9682465
2021-06-11,6.534074892
2021-06-12,5.606013586
2021-06-13,4.010348751
2021-06-14,4.749125847
2021-06-15,5.362719267
2021-06-16,5.834881016
2021-06-17,6.271714644
2021-06-18,6.044818902
2021-06-19,5.212619011
2021-06-20,5.191080808
2021-06-21,5.296659441
2021-06-22,6.222265177
2021-06-23,4.604684166
2021-06-24,5.379850659
2021-06-25,5.68054533
2021-06-26,4.767496113
2021-06-27,4.630579033
2021-06-28,5.041205788
2021-06-29,5.065118726
2021-06-30,5.018520353
2021-07-01,5.39063484
2021-07-02,5.106076323
2021-07-03,4.71685467
2021-07-04,3.549540773
2021-07-05,5.111390544
2021-07-06,4.230308586
2021-07-07,5.207488531
2021-07-08,5.514239421
2021-07-09,4.958181608
2021-07-10,5.034325644
2021-07-11,4.491965366
2021-07-12,5.780704681
