Date,NER1,NER2,NER3,NER4,NER5
2020-09-06,291216,141800,0,35275,114001
2020-09-07,380257,141800,75000,35275,128000
2020-09-08,380257,141800,75000,35275,128000
2020-09-09,382894,141800,78001,37911,124998
2020-09-10,382894,141800,77998,37911,124999
2020-09-11,362247,141800,60000,35275,124998
2020-09-12,327440.5,141800,30000,34484,120998.5
2020-09-13,292634,141800,0,33693,116999
2020-09-14,292634,141800,0,33693,116999
2020-09-15,301638.5,141800,10000.5,33693,119692.5
2020-09-16,310643,141800,20001,33693,122386
2020-09-17,373436,141800,60001,40021,123000
2020-09-18,377892,141800,75001,37911,122999
2020-09-19,317718.5,124450,48829,33693,110594.5
2020-09-20,257545,107100,22657,29475,98190
2020-09-21,336710,141800,30000,34747,130000
2020-09-22,377001,141800,60000,40021,135000
2020-09-23,377529,141800,60000,40548,135000
2020-09-24,400431,141800,90000,38439,130000
2020-09-25,394645,141800,79999,42657,129999
2020-09-26,344073.5,141800,45275,37384,129999
2020-09-27,293502,141800,10551,32111,129999
2020-09-28,340356,141800,60000,39493,120001
2020-09-29,372479,141800,80000,41602,130000
2020-09-30,371007,141800,78000,42130,130000
2020-10-01,373559,141800,60000,41723,130000
2020-10-02,349230,141800,40000,37399,130000
2020-10-03,297574,127293,20000,34761,115493
2020-10-04,245918,112786,0,32123,100986
2020-10-05,303951,141800,0,32123,130000
2020-10-06,352765,141800,40000,40933,129998
2020-10-07,392509,141800,78000,42673,130000
2020-10-08,351669,141800,78000,42937,88900
2020-10-09,337065,141800,35001,47473,109174
2020-10-10,343284.5,141800,37500.5,44545.5,117086.5
2020-10-11,349504,141800,40000,41618,124999
2020-10-12,349504,141800,40000,41618,124999
2020-10-13,394859,141800,70000,51113,131857
2020-10-14,382836,141800,68000,41090,131911
2020-10-15,380100,141800,70000,41354,126911
2020-10-16,342724,141800,35000,38981,126912
2020-10-17,317273.5,135258.5,17940.5,37135,126911
2020-10-18,291823,128717,881,35289,126910
2020-10-19,334030,141800,30000,35289,126911
2020-10-20,343778,141800,35000,40036,126911
2020-10-21,333249,141800,20000,39509,131910
2020-10-22,333355,141800,20000,39614,131910
2020-10-23,353251,141800,40000,39509,131910
2020-10-24,342489,133148.5,37500.5,37399,134410.5
2020-10-25,331727,124497,35001,35289,136911
2020-10-26,42202,0,0,35289,6910
2020-10-27,361945,141800,40000,43200,136911
2020-10-28,423702,141800,107174,42778,131910
2020-10-29,397130,141800,93899,45311,116084
2020-10-30,369490,141800,79450,42673.5,123996.5
2020-10-31,341850,141800,65001,40036,131909
2020-11-01,410133,141800,95000,46423,126911
2020-11-02,410133,141800,95000,46423,126911
2020-11-03,385914,141800,70000,42202,131911
2020-11-04,320913,141800,0,42202,136911
2020-11-05,201718,141800,0,41358,18560
2020-11-06,384236,141800,70000,45526,126910
2020-11-07,361265.5,141800,52591.5,41464,125410
2020-11-08,338295,141800,35183,37402,123910
2020-11-09,373112,141800,70000,37402,123910
2020-11-10,385608,141800,70000,46897,126910
2020-11-11,429553,141800,91262,45842,150649
2020-11-12,434554,141800,120000,45842,126911
2020-11-13,397971,141800,85000,44260,126911
2020-11-14,380747,141800,86250,43336.5,129411
2020-11-15,382192.25,141800,74062.5,44556.38,126785.75
2020-11-16,300910,141800,65000,37402,136911
2020-11-17,389553,141800,75000,45842,126911
2020-11-18,360498,141800,50000,44787,123910
2020-11-19,331553,141800,20000,45842,136911
2020-11-20,302509,141800,10000,44260,123910
2020-11-21,283652,141800,0,37402,121911
2020-11-22,157045,114367,0,37402,22737
2020-11-23,283652,141800,0,37402,121911
2020-11-24,338863,141800,30000,44787,122276
2020-11-25,372808,141800,65000,43732,136911
2020-11-26,303487,141800,0,41095,121911
2020-11-27,303487,141800,0,41095,121911
2020-11-28,303487,141800,0,41095,121911
2020-11-29,197981,36294,0,41095,121911
2020-11-30,310872,141800,0,48480,121911
2020-12-01,317883,141800,0,52173,123910
2020-12-02,332883,141800,15000,52173,123910
2020-12-03,319671,141800,0,50959,126911
2020-12-04,314671,141800,0,50959,121911
2020-12-05,303049,141800,0,51566,123161
2020-12-06,288927,141800,0,52173,121911
2020-12-07,288927,141800,0,52173,121911
2020-12-08,311156.5,141800,3249.75,52964.25,129411
2020-12-09,334358,141800,12999,53228,136911
2020-12-10,332414,141800,0,54283,136911
2020-12-11,331042,141800,0,52911,136331
2020-12-12,318193,141800,0,51118,126911
2020-12-13,288652,141800,0,37402,126911
2020-12-14,318193,141800,0,51118,126911
2020-12-15,343498,141800,20000,55338,126360
2020-12-16,321411,141800,0,52700,126911
2020-12-17,304660.8,127029.2,4000,51012,123273.6
2020-12-18,317368.76,138845.84,0,51518.4,122546.12
2020-12-19,309381.71,138255.01,0,49066.48,120710.34
2020-12-20,233174,67946,0,47952,118911
2020-12-21,307028,141800,0,47952,117275
2020-12-22,310246,141800,0,50590,118911
2020-12-23,293222,141800,0,39512,111910
2020-12-24,302167,141800,15000,39512,105855
2020-12-25,271177.25,123336.5,3750,39512,82896.5
2020-12-26,286315.81,137184.13,4687.5,40039.5,76893.13
2020-12-27,212733,67946,0,39512,106910
2020-12-28,276587,141800,0,39512,6911
2020-12-29,295332,141800,0,41622,111910
2020-12-30,300332,141800,0,41622,116910
2020-12-31,272672,141800,0,39512,91360
2021-01-01,273924.75,124655.25,0,38747,110522.5
2021-01-02,289017.69,137513.81,0,42578.25,108925.63
2021-01-03,227058,73221,0,36927,116910
2021-01-04,295637,141800,0,36927,116910
2021-01-05,313837,141800,0,55127,116910
2021-01-06,313837,141800,0,55127,116910
2021-01-07,302032,136525,0,54177,111330
2021-01-08,,,,,
2021-01-09,227809,89047,0,48533,90809
2021-01-10,190881,31019,0,48533,111910
2021-01-11,296387,136525,0,48533,111910
2021-01-12,304101,141800,0,55391,106910
2021-01-13,313521,141800,0,55391,116330
2021-01-14,310883,141800,0,52753,116330
2021-01-15,319048,141800,0,55918,121330
2021-01-16,312719,141800,0,49588,121331
2021-01-17,212252,41333,0,49588,121331
2021-01-18,291618,131249,0,49588,111361
2021-01-19,312719,141800,0,49588,121911
2021-01-20,312466,141800,0,54336,6911
2021-01-21,303498,141800,0,55918,6911
2021-01-22,317139,141800,200,53808,121911
2021-01-23,251097,121015.5,100,48532.5,89942
2021-01-24,185055,100231,0,43257,57973
2021-01-25,295837,141800,0,43257,121910
2021-01-26,344003,141800,40000,47478,126911
2021-01-27,290837,141800,0,42202,107415
2021-01-28,305333,141800,0,42202,121911
2021-01-29,303223,141800,0,40092,121911
2021-01-30,304278,141800,0,41147,121911
2021-01-31,303750.5,141800,0,40619.5,121911
2021-02-01,295975.25,141800,0,45208.25,116750
2021-02-02,288200,141800,0,49797,111589
2021-02-03,312785,141801,0,49058,121911
2021-02-04,306728,141801,0,48003,116910
2021-02-05,316201,141800,20000,47476,106910
2021-02-06,291130.5,129131,15000,45365.5,101620
2021-02-07,266060,116462,10000,43255,96330
2021-02-08,281399,141800,0,43255,96330
2021-02-09,327257,141800,0,48531,136910
2021-02-10,315204,141801,0,49058,124910
2021-02-11,313146,141800,0,47476,6911
2021-02-12,312566,141800,0,46421,6911
2021-02-13,306485.5,131566,15000.5,44574.5,56620.5
2021-02-14,300405,121332,30001,42728,106330
2021-02-15,290872,141800,0,42728,106330
2021-02-16,69634,0,63300,0,6330
2021-02-17,293155,141799,0,34340,117000
2021-02-18,366160,141800,80000,0,110001
2021-02-19,401160,141800,114999,34340,110001
2021-02-20,378659,141800,92499.5,34340,110000.5
2021-02-21,356158,141800,70000,34340,110000
2021-02-22,356158,141800,70000,34340,110000
2021-02-23,382820,141800,80000,47001,114001
2021-02-24,317455,115017,36782,50641,115000
2021-02-25,302455,141800,0,50641,110001
2021-02-26,215171,117670.5,0,49322,55000.5
2021-02-27,171529,105605.75,0,48662.5,27500.25
2021-02-28,127887,93541,0,48003,0
2021-03-01,297181,141800,0,45364,110000
2021-03-02,242568,85080,0,47475,110000
2021-03-03,241513,85080,0,46419,110000
2021-03-04,228452,75964,0,47475,105000
2021-03-05,233452,75964,0,47475,110000
2021-03-06,227650,75965,0,41673,110000
2021-03-07,227650,75965,0,41673,110000
2021-03-08,233981,75965,0,48002,110000
2021-03-09,235035,75964,0,49057,110000
2021-03-10,236090,75964,0,50112,110000
2021-03-11,230035,75964,0,49057,104999
2021-03-12,230562,75964,0,49585,104999
2021-03-13,230298.5,75964,0,49321,104999
2021-03-14,230298.5,75964,0,49321,104999
2021-03-15,41675,0,0,41673,0
2021-03-16,230562,75964,0,49585,104999
2021-03-17,231618,75964,0,50640,105000
2021-03-18,251619,75964,20000,50640,105000
2021-03-19,236079.5,75964.5,10000,45101.5,105000
2021-03-20,228309.75,75964.75,5000,42332.25,105000
2021-03-21,220540,75965,0,39563,105000
2021-03-22,220540,75965,0,39563,105000
2021-03-23,230036,75964,0,49057,105000
2021-03-24,287769,121332,0,46419,119999
2021-03-25,297182,141800,0,45364,110000
2021-03-26,245233,73854,16000,45364,110000
2021-03-27,227649,74909,0,36925,110000
2021-03-28,227649,74909,0,36925,110000
2021-03-29,227649,74909,0,36925,110000
2021-03-30,263530,74909,0,51695,136910
2021-03-31,247398,74909,0,47475,124999
2021-04-01,226058,74910,46422,41147,63578
2021-04-02,221838,74910,0,36927,110000
2021-04-03,198098.5,51171,0,36927,110000
2021-04-04,174359,27432,0,36927,110000
2021-04-05,226839,74910,0,36927,115000
2021-04-06,239499,74910,0,49588,114999
2021-04-07,247940,84405,0,48533,115000
2021-04-08,277712,100231,6099,47478,123902
2021-04-09,343334,141799,38000,48533,114999
2021-04-10,330165,141377,30000,43785,115000
2021-04-11,314164,141377,14000,34342,114999
2021-04-12,330165,141377,30000,43785,115000
2021-04-13,343918,141799,37000,50115,115000
2021-04-14,356392,141799,50001,49588,115000
2021-04-15,350336,141800,43000,48533,117000
2021-04-16,350335,141799,43000,48533,117000
2021-04-17,333406.5,141799,30500,45104,116000
2021-04-18,316478,141799,18000,41675,115000
2021-04-19,316478,141799,18000,41675,115000
2021-04-20,336280,141800,30000,47478,117001
2021-04-21,305753,141800,0,46950,117001
2021-04-22,305226,141799,0,46423,117001
2021-04-23,303907,141800,0,45104,117001
2021-04-24,299665,141800,0,42862,115001
2021-04-25,295423,141800,0,40620,113001
2021-04-26,295423,141800,0,40620,113001
2021-04-27,302170,141800,7999,45368,115000
2021-04-28,314698,141800,10000,45895,117001
2021-04-29,307336,141800,0,48533,117001
2021-04-30,305962,141800,0,46159,118001
2021-05-01,301957.5,141800,0,43652.5,116500.5
2021-05-02,297953,141800,0,41146,115000
2021-05-03,41147,0,0,41146,0
2021-05-04,306228,141800,0,46422,118000
2021-05-05,316755,141800,10000,46949,118000
2021-05-06,343811,141801,25000,48004,129000
2021-05-07,357229,141800,40000,46422,128999
2021-05-08,328689,141800,26000,40883,120000
2021-05-09,302689,141800,0,40883,120000
2021-05-10,302689,141800,0,40883,120000
2021-05-11,328284,141800,10000,47477,129001
2021-05-12,401175,141800,85000,45367,129000
2021-05-13,388812,141800,70000,48004,129000
2021-05-14,367757,141800,50000,48004,129000
2021-05-15,342320.5,132224,36250,45102.5,129000.25
2021-05-16,274704,103496,0,42201,129000
2021-05-17,338009,141800,25000,42201,129001
2021-05-18,326174,141800,10000,45367,129001
2021-05-19,359064,141800,45000,43256,129000
2021-05-20,315724,141800,10551,45367,118000
2021-05-21,310063,141800,0,43256,125000
2021-05-22,303462,141800,2637.75,42992.75,116025
2021-05-23,304581,141800,0,41674,121100
2021-05-24,283480,141800,0,41674,100000
2021-05-25,337228,141800,20000,46422,129000
2021-05-26,337173,141799,21000,45367,129001
2021-05-27,339283,141800,21000,47477,129000
2021-05-28,334008,141801,21000,42201,129000
2021-05-29,384833,141801,71824,42201,129000
2021-05-30,334008,141801,21000,42201,129000
2021-05-31,327677,135471,21000,42201,129000
2021-06-01,338262,141801,21000,46416,129000
2021-06-02,340150,141801,25000,44307,128999
2021-06-03,380793,141800,63001,46944,128999
2021-06-04,421217,141801,105000,45361,129000
2021-06-05,396398,141800,84666,40878,129001
2021-06-06,396398,141800,84666,40878,129001
2021-06-07,396398,141800,84666,40878,129001
2021-06-08,411743,141801,95001,45889,129000
2021-06-09,415218,141800,103001,45361,125000
2021-06-10,380267,141800,65000,46416,127000
