Date,RMS,DMS FB,DMS IB
2020-08-16,244098.67,238029.99,3004.81
2020-08-17,244098.68,238029.99,3004.81
2020-08-18,297353.89,291050.76,2688.29
2020-08-19,305347.03,299050.41,2793.80
2020-08-20,308338.12,301050.40,3532.34
2020-08-21,308338.12,301050.40,3532.34
2020-08-22,308338.12,301050.40,3532.34
2020-08-23,302271.53,295043.93,3532.34
2020-08-24,302271.53,295043.93,3532.34
2020-08-25,322623.63,316092.26,2635.54
2020-08-26,322088.72,315092.57,3110.32
2020-08-27,309609.47,303050.38,2793.80
2020-08-28,309609.47,303050.38,2793.80
2020-08-29,304324.67,298116.98,2582.79
2020-08-30,304324.67,298116.98,2582.79
2020-08-31,304324.67,298016.88,2582.79
2020-09-01,306580.39,300472.17,2342.23
2020-09-02,304570.50,298050.16,2814.90
2020-09-03,309360.47,302051.43,3553.44
2020-09-04,311390.41,304051.24,3553.44
2020-09-05,289629.80,283317.59,2814.90
2020-09-06,290131.48,283814.30,2814.90
2020-09-07,290633.16,284311.01,2814.90
2020-09-08,290633.16,284260.96,2814.90
2020-09-09,276758.06,270051.13,3342.43
2020-09-10,256354.26,250049.74,3342.43
2020-09-11,248426.54,242050.44,3342.43
2020-09-12,211451.96,205383.54,3553.44
2020-09-13,211451.96,205383.54,3553.44
2020-09-14,211451.96,205383.54,3553.44
2020-09-15,215813.58,209885.82,3342.43
2020-09-16,220175.20,214388.11,3131.42
2020-09-17,214779.62,208945.91,3186.28
2020-09-18,250026.01,243993.13,3186.28
2020-09-19,228488.01,222518.44,3186.28
2020-09-20,228488.01,222618.54,3186.28
2020-09-21,228488.01,222518.44,3186.28
2020-09-22,288702.40,282106.02,3186.28
2020-09-23,261059.83,254662.98,3291.79
2020-09-24,256348.98,250207.75,3080.78
2020-09-25,274467.52,268146.72,3080.77
2020-09-26,261786.76,255512.20,3186.28
2020-09-27,249106.00,242877.67,3291.79
2020-09-28,249106.00,242777.57,3291.79
2020-09-29,271506.99,264941.54,3291.79
2020-09-30,293907.98,287105.51,3291.79
2020-10-01,256850.14,249973.76,3819.32
2020-10-02,221078.33,215598.42,2869.76
2020-10-03,225894.68,220106.36,3080.78
2020-10-04,225894.68,220106.36,3080.78
2020-10-05,225894.68,220106.36,3080.78
2020-10-06,262160.81,255808.51,3186.28
2020-10-07,299567.41,292689.87,3291.79
2020-10-08,288692.90,281808.67,3397.29
2020-10-09,288587.40,281808.67,3291.79
2020-10-10,234946.04,228809.05,3291.79
2020-10-11,234946.04,228809.05,3291.79
2020-10-12,234946.04,228698.94,3291.79
2020-10-13,243136.47,236808.19,3291.79
2020-10-14,254206.16,247808.21,3291.79
2020-10-15,254944.70,247808.21,4030.33
2020-10-16,254100.65,247808.21,3186.28
2020-10-17,213760.43,207917.85,3186.00
2020-10-18,216778.96,210926.48,3186.28
2020-10-19,211749.49,205856.76,3186.28
2020-10-20,242869.54,236808.53,3186.28
2020-10-21,259598.57,253321.71,3186.28
2020-10-22,231709.11,225808.76,3186.28
2020-10-23,242332.51,235808.93,3608.31
2020-10-24,216137.48,209923.57,3608.31
2020-10-25,192645.52,186764.53,3608.31
2020-10-26,181074.67,175808.86,3608.31
2020-10-27,170973.53,165807.83,3608.31
2020-10-28,161325.00,155105.86,4768.87
2020-10-29,161325.00,155105.86,4768.87
2020-10-30,146174.87,140105.88,4768.87
2020-10-31,131024.74,125105.89,4768.87
2020-11-01,112074.80,106660.29,4346.85
2020-11-02,112074.80,106660.29,4346.85
2020-11-03,114602.20,108793.37,4821.62
2020-11-04,114002.40,108199.51,4821.62
2020-11-05,116738.17,110908.16,4821.62
2020-11-06,108229.11,102483.44,4821.62
2020-11-07,84842.65,79328.75,4821.62
2020-11-08,87487.16,81947.05,4821.62
2020-11-09,90131.67,84565.35,4821.62
2020-11-10,92454.91,87074.49,4610.61
2020-11-11,90859.66,85286.13,4821.62
2020-11-12,92937.07,87342.95,4821.62
2020-11-13,106513.58,100784.91,4821.62
2020-11-14,83926.86,78422.04,4821.62
2020-11-15,104977.42,99263.97,4821.62
2020-11-16,126027.97,120105.90,4821.62
2020-11-17,131548.05,125571.26,4821.62
2020-11-18,135614.25,129597.16,4821.62
2020-11-19,113205.83,107410.83,4821.62
2020-11-20,115889.90,110068.30,4821.62
2020-11-21,114439.19,108631.97,4821.62
2020-11-22,118685.81,112836.50,4821.62
2020-11-23,122932.43,117041.03,4821.62
2020-11-24,105123.01,99408.12,4821.62
2020-11-25,103565.74,97866.29,4821.62
2020-11-26,109881.33,104119.29,4821.62
2020-11-27,116196.92,110372.28,4821.62
2020-11-28,116723.40,110893.54,4821.62
2020-11-29,116723.40,110893.54,4821.62
2020-11-30,115141.86,109327.68,4821.62
2020-12-01,90739.38,84696.97,5296.40
2020-12-02,91257.42,85209.87,5296.40
2020-12-03,81412.65,75462.68,5296.40
2020-12-04,61283.16,55532.69,5296.40
2020-12-05,20641.19,15293.52,5296.40
2020-12-06,20641.19,15293.52,5296.40
2020-12-07,20641.19,15293.52,5296.40
2020-12-08,62907.95,57141.38,5296.40
2020-12-09,74107.41,68229.84,5296.40
2020-12-10,105823.57,99631.67,5296.40
2020-12-11,96989.56,80334.71,15952.51
2020-12-12,65724.96,59930.47,5296.40
2020-12-13,80775.39,74831.74,5296.40
2020-12-14,63282.50,57512.21,5296.40
2020-12-15,42149.65,35911.99,5929.44
2020-12-16,139065.35,131412.37,6034.94
2020-12-17,123272.68,115965.98,6045.49
2020-12-18,107480.02,100519.58,6056.04
2020-12-19,95591.07,88648.37,6056.04
2020-12-20,98993.38,91866.80,6056.04
2020-12-21,83702.13,76777.15,6056.04
2020-12-22,102395.68,95085.24,6056.04
2020-12-23,146872.79,139221.64,6056.04
2020-12-24,131266.35,123719.82,6056.04
2020-12-25,147834.58,140594.96,6029.67
2020-12-26,164402.81,157470.10,6003.29
2020-12-27,165402.81,157470.10,6003.29
