Date,FPO1,FPO1001F,FPO1002F,FPO2001F,FPO2004F,FPO2007F,FPO2008F,FPO1001I,FPO1002I,FPO2001I,FPO2004I,FPO2007I,FPO2008I
2021-03-07,520423,,,,,,,,,,,,
2021-03-08,530419,,,,,,,,,,,,
2021-03-09,552053,,,,,,,,,,,,
2021-03-10,519910,,,,,,,,,,,,
2021-03-11,569962,,,,,,,,,,,,
2021-03-12,514694,,,,,,,,,,,,
2021-03-13,492116,,,,,,,,,,,,
2021-03-14,494074,,,,,,,,,,,,
2021-03-15,504447,,,,,,,,,,,,
2021-03-16,585727,,,,,,,,,,,,
2021-03-17,606395,,,,,,,,,,,,
2021-03-18,629683,,,,,,,,,,,,
2021-03-19,618719,,,,,,,,,,,,
2021-03-20,571758,,,,,,,,,,,,
2021-03-21,533254,,,,,,,,,,,,
2021-03-22,590433,,,,,,,,,,,,
2021-03-23,600019,,,,,,,,,,,,
2021-03-24,561585,,,,,,,,,,,,
2021-03-25,539375,,,,,,,,,,,,
2021-03-26,546881,,,,,,,,,,,,
2021-03-27,625087,,,,,,,,,,,,
2021-03-28,507133,,,,,,,,,,,,
2021-03-29,565759,,,,,,,,,,,,
2021-03-30,575153,,,,,,,,,,,,
2021-03-31,570456,,,,,,,,,,,,
2021-04-01,487287.96,,,,,,,,,,,,
2021-04-02,507040.36,,,,,,,,,,,,
2021-04-03,530125.1,,,,,,,,,,,,
2021-04-04,546969.1,,,,,,,,,,,,
2021-04-05,526867.6,,,,,,,,,,,,
2021-04-06,583645.06,,,,,,,,,,,,
2021-04-07,592163.38,,,,,,,,,,,,
2021-04-08,588308.88,,,,,,,,,,,,
2021-04-09,581659.86,,,,,,,,,,,,
2021-04-10,592437.46,,,,,,,,,,,,
2021-04-11,596863.11,,,,,,,,,,,,
2021-04-12,587838.97,,,,,,,,,,,,
2021-04-13,706223.32,,,,,,,,,,,,
2021-04-14,759937.36,,,,,,,,,,,,
2021-04-15,788113,,,,,,,,,,,,
2021-04-16,671508,,,,,,,,,,,,
2021-04-17,560567,,,,,,,,,,,,
2021-04-18,555597,,,,,,,,,,,,
2021-04-19,581994,,,,,,,,,,,,
2021-04-20,566232,,,,,,,,,,,,
2021-04-21,605346,,,,,,,,,,,,
2021-04-22,632201,,,,,,,,,,,,
2021-04-23,650744,,,,,,,,,,,,
2021-04-24,636139,,,,,,,,,,,,
2021-04-25,565906,,,,,,,,,,,,
2021-04-26,604299,,,,,,,,,,,,
2021-04-27,673990,,,,,,,,,,,,
2021-04-28,584494,,,,,,,,,,,,
2021-04-29,599986,,,,,,,,,,,,
2021-04-30,591005.33,,,,,,,,,,,,
2021-05-01,582534,,,,,,,,,,,,
2021-05-02,590496,,,,,,,,,,,,
2021-05-03,562492,,,,,,,,,,,,
2021-05-04,662317,,,,,,,,,,,,
2021-05-05,715502,,,,,,,,,,,,
2021-05-06,649578,,,,,,,,,,,,
2021-05-07,655786,,,,,,,,,,,,
2021-05-08,565583,,,,,,,,,,,,
2021-05-09,575455,,,,,,,,,,,,
2021-05-10,640487,,,,,,,,,,,,
2021-05-11,697984,,,,,,,,,,,,
2021-05-12,633205,,,,,,,,,,,,
2021-05-13,598009,,,,,,,,,,,,
2021-05-14,571998,,,,,,,,,,,,
2021-05-15,329986,,,,,,,,,,,,
2021-05-16,519941,,,,,,,,,,,,
2021-05-17,619079,,,,,,,,,,,,
2021-05-18,638092,,,,,,,,,,,,
2021-05-19,648779,,,,,,,,,,,,
2021-05-20,673420,,,,,,,,,,,,
2021-05-21,686375,,,,,,,,,,,,
2021-05-22,602778,,,,,,,,,,,,
2021-05-23,691806,,,,,,,,,,,,
2021-05-24,682088,,,,,,,,,,,,
2021-05-25,670893,,,,,,,,,,,,
2021-05-26,604495,,,,,,,,,,,,
2021-05-27,592920,,,,,,,,,,,,
2021-05-28,766926,,,,,,,,,,,,
2021-05-29,711650,,,,,,,,,,,,
2021-05-30,654647,,,,,,,,,,,,
2021-05-31,588998,,,,,,,,,,,,
2021-06-01,,"645,515.00",0,"238,573.00","296,858.00",0,"110,084.00","20,860.00",0,"12,706.00","8,154.00",0,0
2021-06-02,,"731,137.00",0,"268,874.00","346,903.00",0,"115,360.00","31,291.00",0,"12,593.00","18,698.00",0,0
2021-06-03,,"681,161.00",0,"271,886.00","293,913.00",0,"115,360.00",0,0,"12,627.00","23,880.00",0,0
2021-06-04,,"662,920.00",0,"243,645.00","303,914.00",0,"115,360.00","41,721.00",0,"12,575.00","29,146.00",0,0
2021-06-05,,"605,880.00",0,"279,001.00","269,896.00",0,"65,070.00",0,0,"4,000.00",0,0,0
2021-06-06,,"501,779.00",0,"251,721.00","246,284.00",0,"16,260.00",0,0,"4,000.00",0,0,0
2021-06-07,,"641,059.00",0,"266,785.00","293,913.00",0,"94,305.00",0,0,"4,000.00",0,0,0
2021-06-08,,"622,396.00",0,"358,000.00","283,402.00",0,"94,259.00","8,344.00",0,"12,900.00","1,703.00",0,0
2021-06-09,,"711,092.00",0,"359,884.00","285,436.00",0,"94,259.00","15,645.00",0,"12,797.00","2,849.00",0,0
2021-06-10,,"673,432.00",0,"336,174.00","291,486.00",0,"94,259.00","6,039.00",0,"4,284.00","1,755.00",0,0
2021-06-11,,"690,897.00",0,"336,638.00","288,486.00",0,"67,928.00","14,602.00",0,"12,734.00","1,868.00",0,0
2021-06-12,,"643,729.00",0,"281,050.00","268,419.00",0,"94,259.00","12,516.00",0,"12,085.00",431,0,0
2021-06-13,,"623,248.00",0,"260,842.00","268,146.00",0,"94,259.00","12,516.00",0,"12,085.00",431,0,0
2021-06-14,,"596,315.00",0,"227,409.00","274,645.00",0,"94,259.00","12,516.00",0,"12,085.00",431,0,0
2021-06-15,,"656,635.00",0,"252,702.00","309,673.00",0,"94,259.00","20,861.00",0,"12,835.00","8,026.00",0,0
2021-06-16,,"591,402.00",0,"236,542.00","260,601.00",0,"94,259.00","20,860.00",0,"12,825.00","8,035.00",0,0
2021-06-17,,"695,226.00",0,"286,123.00","314,844.00",0,"94,259.00","20,860.00",0,"12,743.00","8,117.00",0,0
2021-06-18,,"687,039.00",0,"280,988.00","311,793.00",0,"94,259.00","20,860.00",0,"12,536.00","8,324.00",0,0
2021-06-19,,"584,804.00",0,"222,398.00","268,146.00",0,"68,013.00","15,645.00",0,"12,044.00","3,601.00",0,0
2021-06-20,,"594,806.00",0,"222,402.00","278,146.00",0,"94,259.00","15,645.00",0,"12,044.00","3,601.00",0,0
2021-06-21,,"578,575.00",0,"226,425.00","257,891.00",0,"94,259.00","15,645.00",0,"12,044.00","3,601.00",0,0
2021-06-22,,"662,475.00",0,"316,314.00","278,146.00",0,"94,259.00","20,860.00",0,"12,744.00","8,116.00",0,0
2021-06-23,,"582,718.00",0,"227,892.00","273,146.00",0,"94,259.00","41,721.00",0,"12,514.00","29,207.00",0,0
2021-06-24,,"584,122.00",0,"237,520.00","262,891.00",0,"94,259.00","41,721.00",0,"12,643.00","29,078.00",0,0
2021-06-25,,"577,843.00",0,"268,723.00","243,636.00",0,"55,483.00","17,731.00",0,"12,732.00","4,999.00",0,0
2021-06-26,,"498,578.00",0,"238,566.00","206,956.00",0,"52,157.00","11,121.00",0,"11,121.00",0,0,0
2021-06-27,,"453,924.00",0,"198,174.00","172,041.00",0,"94,259.00","20,860.00",0,"11,122.00","9,738.00",0,0
2021-06-28,,"533,731.00",0,"255,725.00","194,296.00",0,"94,259.00","20,860.00",0,"11,122.00","9,738.00",0,0
2021-06-29,,"680,362.00",0,"284,005.00","273,146.00","37,583.00","94,259.00","20,861.00",0,"12,914.00","7,947.00",0,0
2021-06-30,,"668,096.00",0,"270,840.00","273,146.00","51,698.00","94,259.00","20,860.00",0,"12,991.00","7,869.00",0,0
2021-07-01,,"534,672.00",0,"195,177.00","232,381.00",0,"77,263.00","14,630.00",0,"12,963.00","1,667.00",0,0
2021-07-02,,"526,015.00",0,"216,370.00","232,381.00",0,"77,263.00","20,975.00",0,"13,408.00",0,0,0
2021-07-03,,"449,976.00",0,"172,971.00","199,870.00",0,"77,134.00","13,634.00",0,"12,050.00","1,584.00",0,0
2021-07-04,,"467,675.00",0,"175,951.00","196,529.00",0,"105,195.00","13,634.00",0,"12,050.00","1,584.00",0,0
2021-07-05,,"539,273.00",0,"232,036.00","212,041.00",0,"105,195.00","13,634.00",0,"12,050.00","1,584.00",0,0
2021-07-06,,"575,763.00",0,"286,073.00","194,494.00",0,"105,195.00","13,634.00",0,"12,050.00","1,584.00",0,0
2021-07-07,,"662,632.00",0,"279,012.00","278,488.00",0,"105,131.00","20,975.00",0,"12,783.00","8,192.00",0,0
2021-07-08,,"667,285.00",0,"291,126.00","271,027.00",0,"105,131.00","20,975.00",0,"13,580.00","7,395.00",0,0
2021-07-09,,"613,298.00",0,"265,862.00","267,975.00",0,"79,462.00","15,044.00",0,"13,486.00","1,558.00",0,0
2021-07-10,,"552,319.00",0,"207,325.00","267,905.00",0,"77,088.00","13,634.00",0,"12,371.00","1,263.00",0,0
2021-07-11,,"546,598.00",0,"172,957.00","278,488.00",0,"105,153.00","13,634.00",0,"12,371.00","1,263.00",0,0
2021-07-12,,"594,657.00",0,"226,443.00","273,062.00",0,"105,153.00","13,634.00",0,"12,371.00","1,263.00",0,0
2021-07-13,,"700,333.00",0,"291,095.00","303,913.00",0,"105,324.00","20,976.00",0,"13,571.00","7,405.00",0,0
2021-07-14,,612403,0,203164,303914,0,105324,20975,0,13508,7467,0,0
2021-07-15,,605985,0,212258,288402,0,105324,16780,0,13869,2911,0,0
2021-07-16,,637837,0,223429,309083,0,105324,20975,0,13844,7131,0,0
2021-07-17,,604416,0,218292,298914,0,78211,14683,0,12703,412,0,0
2021-07-18,,564065,0,179940,295914,0,78211,14683,0,12703,1980,0,0
2021-07-19,,612513,0,223446,293914,0,105153,14683,0,12703,1980,0,0
2021-07-20,,708515,0,289022,314168,0,105324,15731,0,13762,1969,0,0
2021-07-21,,662328,0,329281,247721,0,105324,29366,0,13135,6231,0,0
2021-07-22,,585372,0,282837,217210,0,105324,31463,0,13523,7940,0,0
2021-07-23,,534920,0,233385,216210,0,77284,31463,0,13095,702,0,0
2021-07-24,,481971,0,213271,196529,0,52102,13634,0,12107,1527,0,0
2021-07-25,,433084,0,211245,176189,0,45649,13634,0,12107,318,0,0
2021-07-26,,555471,0,248105,202040,0,105324,13634,0,12107,1527,0,0
2021-07-27,,634695,0,322330,207040,0,105324,34610,0,12707,21903,0,0
2021-07-28,,575179,0,315204,182701,0,77273,14448,0,12731,1717,0,0
2021-07-29,,545030,0,276806,187785,0,80438,13273,0,12628,1739,0,0
2021-07-30,,512593,0,265653,194837,0,52102,13925,0,12067,764,0,0
2021-07-31,,545856,0,233489,207041,0,105324,15732,0,12067,3665,0,0
2021-08-01,,384765,0,142425,201957,0,40383,13513,0,12049,1464,0,0
2021-08-02,,503002,0,172725,209127,0,121150,13513,0,12049,1463,0,0
2021-08-03,,567909,0,219378,227381,0,121150,14032,0,13672,360,0,0
2021-08-04,,582718,0,235475,226092,0,121150,20789,0,13022,7767,0,0
2021-08-05,,502198,0,193141,227380,0,81675,14744,0,13153,1591,0,0
2021-08-06,,520212,0,211155,227380,0,81675,14500,0,12845,1655,0,0
2021-08-07,,450773,0,193084,176055,0,81632,10914,0,10708,206,0,0
2021-08-08,,398991,0,172841,104999,0,121150,10914,0,10708,206,0,0
2021-08-09,,434228,0,172948,140130,0,121150,12473,0,10708,1765,0,0
2021-08-10,,450594,0,168859,160584,0,121150,10394,0,9208,1186,0,0
2021-08-11,,421169,0,172839,166697,0,81632,9035,0,9035,0,0,0
2021-08-12,,477918,0,172752,222435,0,82731,10826,0,9300,1526,0,0
2021-08-13,,468183,0,172742,202978,0,72292,10167,0,8466,1701,0,0
2021-08-14,,432789,0,172854,186226,0,81734,7899,0,7837,13,0,0
2021-08-15,,330307,0,172839,125332,0,42136,7899,0,7837,13,0,0
2021-08-16,,534478,0,243666,207103,0,121150,7899,0,7837,62,0,0
2021-08-17,,629759,0,289073,219535,0,121150,9354,0,8270,1084,0,0
2021-08-18,,602317,0,299183,201870,0,94264,20788,0,8466,12322,0,0
2021-08-19,,598178,0,304148,211417,0,82613,20789,0,12794,0,0,0
2021-08-20,,629503,0,287971,227381,0,121149,15591,0,12853,2738,0,0
2021-08-21,,656699,0,355779,217211,0,84223,12473,0,5667,0,0,0
2021-08-22,,448510,0,214805,149996,0,84223,12473,0,11334,0,0,0
2021-08-23,,554516,0,279021,191786,0,84223,12473,0,11334,0,0,0
2021-08-24,,685885,0,296121,268612,0,121150,15591,0,12684,2907,0,0
2021-08-25,,619732,0,286018,232550,0,86264,15574,0,12446,3128,0,0
2021-08-26,,714908,0,362686,231157,0,121064,20788,0,6181,14607,0,0
2021-08-27,,644023,0,353699,186063,0,104260,15591,0,11744,3847,0,0
2021-08-28,,505187,0,204472,216576,0,84137,15591,0,10130,5461,0,0
2021-08-29,,512556,0,211840,216577,0,84137,15591,0,10130,5461,0,0
2021-08-30,,571836,0,296119,191577,0,84137,15591,0,10130,5461,0,0
2021-08-31,,702731,0,306429,275236,0,121064,16630,0,12294,4336,0,0
2021-09-01,,556275,0,270047,171440,0,114233,16601,0,11959,4642,0,0
2021-09-02,,495691,0,269483,138868,0,87339,13279,0,12678,601,0,0
2021-09-03,,527265,0,222026,217898,0,87339,12885,0,12181,704,0,0
2021-09-04,,459683,0,216000,174562,0,69121,11582,0,11354,228,0,0
2021-09-05,,466208,0,216421,180666,0,69121,12451,0,11354,1097,0,0
2021-09-06,,495534,0,208851,190700,0,95981,12451,0,11354,1097,0,0
2021-09-07,,541225,0,221502,236742,0,95981,12451,0,11354,1097,0,0
2021-09-08,,540867,0,216999,236494,0,87373,15563,0,12953,2610,0,0
2021-09-09,,538942,0,219074,232495,0,87373,13258,0,12652,606,0,0
2021-09-10,,543921,0,220051,236495,0,87373,15563,0,12724,2839,0,0
2021-09-11,,501002,0,217020,196591,0,87389,12451,0,11324,1127,0,0
2021-09-12,,454058,0,170075,196592,0,87389,12451,0,11324,1127,0,0
2021-09-13,,472662,0,174142,204286,0,114233,12451,0,11324,1127,0,0
2021-09-14,,610598,0,268543,209083,0,114233,20751,0,12958,7793,0,0
2021-09-15,,562705,0,190753,257718,0,114233,13488,0,12902,586,0,0
2021-09-16,,593304,0,215463,263607,0,114231,15563,0,13078,2485,0,0
2021-09-17,,517227,0,235675,229449,0,52102,13488,0,12797,691,0,0
2021-09-18,,573181,0,251295,234534,0,87352,5187,0,11129,284,0,0
2021-09-19,,562222,0,213454,234535,0,114233,11413,0,11129,284,0,0
2021-09-20,,610690,0,261922,234535,0,114233,11413,0,11129,284,0,0
2021-09-21,,674519,0,290155,270130,0,114233,15563,0,12835,2728,0,0
2021-09-22,,697673,0,315253,268186,0,114233,15563,0,12429,3134,0,0
2021-09-23,,612553,0,225487,284368,0,87352,15563,0,12736,2827,0,0
2021-09-24,,506241,0,173841,245047,0,87352,13488,0,12357,1131,0,0
2021-09-25,,490867,0,120946,257981,0,114233,11413,0,10901,512,0,0
2021-09-26,,392783,0,122011,185725,0,87341,11413,0,10901,512,0,0
2021-09-27,,557027,0,183104,261983,0,114233,11413,0,10901,512,0,0
2021-09-28,,599359,0,185963,287560,0,114233,15563,0,12397,3166,0,0
2021-09-29,,577919,0,169873,293811,0,114233,15563,0,12550,3013,0,0
2021-09-30,,,0,,,0,,,0,,,0,0
2021-10-01,,457167,0,112411,245047,0,94559,12465,0,12187,278,0,0
2021-10-02,,463824,0,149642,219621,0,94559,11426,0,11090,336,0,0
2021-10-03,,495259,0,129583,250131,0,115544,11426,0,11090,336,0,0
2021-10-04,,476071,0,110394,245131,0,115544,11426,0,11090,336,0,0
2021-10-05,,531869,0,127512,288811,0,115545,13503,0,12637,866,0,0
2021-10-06,,529144,0,125486,288111,0,115545,15581,0,12859,2722,0,0
