Date,TOP1
2020-03-13,156.435496
2020-03-14,169.533317
2020-03-15,168.857747
2020-03-16,172.042707
2020-03-17,183.650991
2020-03-18,199.490325
2020-03-19,178.778308
2020-03-20,144.346968
2020-03-21,170.63464
2020-03-22,113.736462
2020-03-23,104.538828
2020-03-24,113.357267
2020-03-25,110.499926
2020-03-26,108.618671
2020-03-27,114.634433
2020-03-28,106.888843
2020-03-29,103.909874
2020-03-30,107.710587
2020-03-31,112.576912
2020-04-01,106.545337
2020-04-02,105.727343
2020-04-03,108.566077
2020-04-04,110.076627
2020-04-05,47.057005
2020-04-06,96.190335
2020-04-07,111.757146
2020-04-08,143.216333
2020-04-09,112.352869
2020-04-10,110.238686
2020-04-11,107.772663
2020-04-12,101.735373
2020-04-13,135.700101
2020-04-14,153.895524
2020-04-15,135.982159
2020-04-16,163.672742
2020-04-17,172.864726
2020-04-18,137.451497
2020-04-19,111.258114
2020-04-20,137.322951
2020-04-21,130.453472
2020-04-22,112.814714
2020-04-23,118.815488
2020-04-24,107.349981
2020-04-25,97.251329
2020-04-26,135.894544
2020-04-27,175.039227
2020-04-28,178.765595
2020-04-29,194.108052
2020-04-30,135.346072
2020-05-01,112.003536
2020-05-02,111.506835
2020-05-03,180.201736
2020-05-04,134.312941
2020-05-05,184.220687
2020-05-06,205.172772
2020-05-07,172.690872
2020-05-08,193.400099
2020-05-09,209.66003
2020-05-10,190.198188
2020-05-11,166.300849
2020-05-12,224.256684
2020-05-13,202.125011
2020-05-14,209.501153
2020-05-15,185.558194
2020-05-16,113.349837
2020-05-17,120.766786
2020-05-18,90.558158
2020-05-19,67.7756
2020-05-20,65.984465
2020-05-21,67.589623
2020-05-22,76.335829
2020-05-23,119.036664
2020-05-24,117.468446
2020-05-25,118.564719
2020-05-26,114.704225
2020-05-27,113.113264
2020-05-28,112.305088
2020-05-29,117.555108
2020-05-30,114.910922
2020-05-31,113.77439
2020-06-01,210.279719
2020-06-02,165.33963
2020-06-03,154.924664
2020-06-04,151.731088
2020-06-05,185.898345
2020-06-06,123.131541
2020-06-07,118.982703
2020-06-08,187.229249
2020-06-09,206.038617
2020-06-10,211.621725
2020-06-11,197.365653
2020-06-12,182.856764
2020-06-13,116.440047
2020-06-14,121.440886
2020-06-15,115.293203
2020-06-16,119.927582
2020-06-17,116.397422
2020-06-18,126.821323
2020-06-19,137.738428
2020-06-20,125.286265
