"","Date","CHI_III","GAD_CHI","GAD_JUA","KM_Hueco","SIS","SMY_BRN","SMY_I","SMY_II"
"102",2024-05-05,42.1575587896,61.3967954614,20.8986037954,211.574252317,11.3881785119,0,16.5380858982,81.7582979845
"103",2024-05-06,42.1976409741,55.6458671958,20.8986037954,215.8724750834,22.7255391705,0,32.1934102405,87.3621052099
"104",2024-05-07,38.030047283,55.4812653791,23.7024497166,231.9617464593,12.4570485368,0,32.1089374781,87.1550904385
"105",2024-05-08,38.4056897469,61.3496856516,23.7287944828,240.8765186979,13.9477879679,0,33.9845365098,89.0857804022
"106",2024-05-09,41.7260484703,55.4849027932,25.6272068107,235.8520138113,16.421688647,0,33.9345662093,87.1322771423
"107",2024-05-10,42.7682558967,60.4882894892,23.7712780669,236.851808283,19.4888409714,0,32.2059822737,89.2556794239
"108",2024-05-11,39.9431152114,60.6063112166,20.9043247768,232.5922904278,16.554471919,0,32.8701458366,87.5510741696
"109",2024-05-12,39.9096015611,55.7050899477,20.8938009962,232.5922904278,11.4767124648,0,32.8451077143,87.4860244922
"110",2024-05-13,40.0618079181,55.9180375887,20.969162566,232.5923257425,12.7766818865,0,32.3566700986,89.6755712069
"111",2024-05-14,42.042503497,60.7318196604,26.7650464447,234.9061802012,22.5598425981,0,36.9271338873,84.0120821385
"112",2024-05-15,41.0431328017,60.7871224806,26.8046342234,223.1498459418,33.8917647929,0,43.4556212175,84.1449360399
"113",2024-05-16,42.0225506915,60.7969046525,24.8564634832,228.1334917205,19.5754679305,0,32.3597777922,86.8991294929
"114",2024-05-17,40.6112693354,65.7710507769,24.9012072081,230.314351019,24.1676855744,0,34.2576250849,87.9677523149
"115",2024-05-18,38.383900577,60.8776693714,22.9557556998,224.298845021,26.2150199922,0,43.2685592516,84.2523633573
"116",2024-05-19,38.2392868805,55.7840889316,22.854614399,225.3220531388,35.2734171157,0,59.0212109071,83.9293397964
"117",2024-05-20,38.1622302051,60.5460643384,22.8161566907,217.7484625768,43.6925122251,0,55.2397834605,83.757639725
