Date,TLA1,TLA2,TLA3,TLA4
2020-08-26,9000,0,0,0
2020-08-27,9000,0,0,0
2020-08-28,9000,0,0,0
2020-08-29,9000,0,0,0
2020-08-30,8999.01,0,0,0
2020-08-31,8999,0,0,0
2020-09-01,7500,0,0,0
2020-09-02,11851.61,0,0,0
2020-09-03,7500,0,0,0
2020-09-04,7497.72,0,0,0
2020-09-05,7500,0,0,0
2020-09-06,7500,0,0,0
2020-09-07,7500,0,0,0
2020-09-08,7500,0,0,0
2020-09-09,7500,0,0,0
2020-09-10,7500,0,0,0
2020-09-11,7500,0,0,0
2020-09-12,7500,0,0,0
2020-09-13,7500,0,0,0
2020-09-14,7499.31,0,0,0
2020-09-15,7500,0,0,0
2020-09-16,7500,0,0,0
2020-09-17,7500,0,0,0
2020-09-18,7499.12,0,0,0
2020-09-19,7500,0,0,0
2020-09-20,7500,0,0,0
2020-09-21,7500,0,0,0
2020-09-22,7500,0,0,0
2020-09-23,7500,0,0,0
2020-09-24,7500,0,0,0
2020-09-25,7500,0,0,0
2020-09-26,7500,0,0,0
2020-09-27,7500,0,0,0
2020-09-28,7500,0,0,0
2020-09-29,8938,0,0,0
2020-09-30,7500,0,0,0
2020-10-01,7500,0,0,0
2020-10-02,7500,0,0,0
2020-10-03,6074.59,0,0,0
2020-10-04,6074.59,0,0,0
2020-10-05,6075.28,0,0,0
2020-10-06,6074.18,0,0,0
2020-10-07,7500,0,0,0
2020-10-08,7500,0,0,0
2020-10-09,7500,0,0,0
2020-10-10,9650,0,0,0
2020-10-11,7500,0,0,0
2020-10-12,7500,0,0,0
2020-10-13,7500,0,0,0
2020-10-14,7500,0,0,0
2020-10-15,7500,0,0,0
2020-10-16,7500,0,0,0
2020-10-17,7500,0,0,0
2020-10-18,7500,0,0,0
2020-10-19,7500,0,0,0
2020-10-20,7500,0,0,0
2020-10-21,7500,0,0,0
2020-10-22,7499.37,0,0,0
2020-10-23,7500,0,0,0
2020-10-24,7500,0,0,0
2020-10-25,7500,0,0,0
2020-10-26,7500,0,0,0
2020-10-27,7500,0,0,0
2020-10-28,7498.68,0,0,0
2020-10-29,7500,0,0,0
2020-10-30,7500,0,0,0
2020-10-31,7500,0,0,0
2020-11-01,7500,0,0,0
2020-11-02,7500,0,0,0
2020-11-03,7500,0,0,0
2020-11-04,7500,0,0,0
2020-11-05,7500,0,0,0
2020-11-06,7500,0,0,0
2020-11-07,7500,0,0,0
2020-11-08,7500,0,0,0
2020-11-09,7500,0,0,0
2020-11-10,7500,0,0,0
2020-11-11,7500,0,0,0
2020-11-12,7500,0,0,0
2020-11-13,7500,0,0,0
2020-11-14,7500,0,0,0
2020-11-15,7500,0,0,0
2020-11-16,7500,0,0,0
2020-11-17,7500,0,0,0
2020-11-18,7500,0,0,0
2020-11-19,7500,0,0,0
2020-11-20,7500,0,0,0
2020-11-21,7500,0,0,0
2020-11-22,7500,0,0,0
2020-11-23,7500,0,0,0
2020-11-24,7500,0,0,0
2020-11-25,7500,0,0,0
2020-11-26,7498.66,0,0,0
2020-11-27,7500,0,0,0
2020-11-28,7500,0,0,0
2020-11-29,7500,0,0,0
2020-11-30,7500,0,0,0
2020-12-01,8000,0,0,0
2020-12-02,8000,0,0,0
2020-12-03,8000,0,0,0
2020-12-04,8000,0,0,0
2020-12-05,8000,0,0,0
2020-12-06,8000,0,0,0
2020-12-07,8000,0,0,0
2020-12-08,8000,0,0,0
2020-12-09,7999.28,0,0,0
2020-12-10,8000,0,0,0
2020-12-11,7999,0,0,0
2020-12-12,7999.28,0,0,0
2020-12-13,7999.28,0,0,0
2020-12-14,8000,0,0,0
2020-12-15,8000,0,0,0
2020-12-16,7999.28,0,0,0
2020-12-17,8000,0,0,0
2020-12-18,8000,0,0,0
2020-12-19,8000,0,0,0
2020-12-20,8000,0,0,0
2020-12-21,7999,0,0,0
2020-12-22,7998.6,0,0,0
2020-12-23,8000,0,0,0
2020-12-24,7999.28,0,0,0
2020-12-25,7999.28,0,0,0
2020-12-26,7999.28,0,0,0
2020-12-27,7999,0,0,0
2020-12-28,7999.28,0,0,0
2020-12-29,8000,0,0,0
2020-12-30,7999.28,0,0,0
2020-12-31,8000,0,0,0
2021-01-01,6500,0,0,0
2021-01-02,6500,0,0,0
2021-01-03,6500,0,0,0
2021-01-04,6500,0,0,0
2021-01-05,6500,0,0,0
2021-01-06,6500,0,0,0
2021-01-07,6500,0,0,0
2021-01-08,6500,0,0,0
2021-01-09,6500,0,0,0
2021-01-10,6500,0,0,0
2021-01-11,6499.39,0,0,0
2021-01-12,6499.39,0,0,0
2021-01-13,6500,0,0,0
2021-01-14,6500,0,0,0
2021-01-15,6500,0,0,0
2021-01-16,6500,0,0,0
2021-01-17,6500,0,0,0
2021-01-18,6500,0,0,0
2021-01-19,6500,0,0,0
2021-01-20,6500,0,0,0
2021-01-21,6500,0,0,0
2021-01-22,6500,0,0,0
2021-01-23,6500,0,0,0
2021-01-24,6500,0,0,0
2021-01-25,6500,0,0,0
2021-01-26,6499.45,0,0,0
2021-01-27,6500,0,0,0
2021-01-28,6500,0,0,0
2021-01-29,6500,0,0,0
2021-01-30,6500,0,0,0
2021-01-31,6500,0,0,0
2021-02-01,7000,0,0,0
2021-02-02,7000,0,0,0
2021-02-03,7000,0,0,0
2021-02-04,7000,0,0,0
2021-02-05,6998.75,0,0,0
2021-02-06,7000,0,0,0
2021-02-07,7000,0,0,0
2021-02-08,6998.75,0,0,0
2021-02-09,7000,0,0,0
2021-02-10,7000,0,0,0
2021-02-11,7000,0,0,0
2021-02-12,7000,0,0,0
2021-02-13,7000,0,0,0
2021-02-14,7000,0,0,0
2021-02-15,7000,0,0,0
2021-02-16,307000,0,0,0
2021-02-17,107000,0,0,0
2021-02-18,67000,0,0,0
2021-02-19,250000,0,0,0
2021-02-20,300000,0,0,0
2021-02-21,160000,0,0,0
2021-02-22,200000,0,0,0
2021-02-23,200000,0,0,0
2021-02-24,200000,0,0,0
2021-02-25,200000,0,0,0
2021-02-26,200000,0,0,0
2021-02-27,200000,0,0,0
2021-02-28,200000,0,0,0
2021-03-01,10000,0,0,0
2021-03-02,9999.46,0,0,0
2021-03-03,10000,0,0,0
2021-03-04,10000,0,0,0
2021-03-05,9998.93,0,0,0
2021-03-06,10000,0,0,0
2021-03-07,10000,0,0,0
2021-03-08,10000,0,0,0
2021-03-09,9999,0,0,0
2021-03-10,10000,0,0,0
2021-03-11,10000,0,0,0
2021-03-12,10000,0,0,0
2021-03-13,10000,0,0,0
2021-03-14,10000,0,0,0
2021-03-15,10000,0,0,0
2021-03-16,118671,0,0,0
2021-03-17,173006,0,0,0
2021-03-18,10000,0,0,0
2021-03-19,10000,0,0,0
2021-03-20,10000,0,0,0
2021-03-21,10000,0,0,0
2021-03-22,10000,0,0,0
2021-03-23,10000,0,0,0
2021-03-24,10000,0,0,0
2021-03-25,10000,0,0,0
2021-03-26,10000,0,0,0
2021-03-27,9999.44,0,0,0
2021-03-28,10000,0,0,0
2021-03-29,9999.44,0,0,0
2021-03-30,9999.44,0,0,0
2021-03-31,10000,0,0,0
2021-04-01,12167,0,0,0
2021-04-02,10000,0,0,0
2021-04-03,10000,0,0,0
2021-04-04,10000,0,0,0
2021-04-05,10000,0,0,0
2021-04-06,9998.93,0,0,0
2021-04-07,10000,0,0,0
2021-04-08,10000,0,0,0
2021-04-09,10000,0,0,0
2021-04-10,9999,0,0,0
2021-04-11,10000,0,0,0
2021-04-12,9999.06,0,0,0
2021-04-13,154299,0,0,0
2021-04-14,214103,0,0,0
2021-04-15,341360,0,0,0
2021-04-16,211012,0,0,0
2021-04-17,9999.32,0,0,0
2021-04-18,10000,0,0,0
2021-04-19,10000,0,0,0
2021-04-20,10000,0,0,0
2021-04-21,10000,0,0,0
2021-04-22,10000,0,0,0
2021-04-23,10000,0,0,0
2021-04-24,10000,0,0,0
2021-04-25,10000,0,0,0
2021-04-26,10000,0,0,0
2021-04-27,9998.94,0,0,0
2021-04-28,10000,0,0,0
2021-04-29,10000,0,0,0
2021-04-30,10000,0,0,0
2021-05-01,8000,0,0,0
2021-05-02,8000,0,0,0
2021-05-03,8000,0,0,0
2021-05-04,7999.48,0,0,0
2021-05-05,8000,0,0,0
2021-05-06,8000,0,0,0
2021-05-07,8000,0,0,0
2021-05-08,7999.48,0,0,0
2021-05-09,8000,0,0,0
2021-05-10,8000,0,0,0
2021-05-11,8000,0,0,0
2021-05-12,8000,0,0,0
2021-05-13,8000,0,0,0
2021-05-14,8000,0,0,0
2021-05-15,8000,0,0,0
2021-05-16,8000,0,0,0
2021-05-17,8000,0,0,0
2021-05-18,7999.48,0,0,0
2021-05-19,7999.48,0,0,0
2021-05-20,7999.48,0,0,0
2021-05-21,8000,0,0,0
2021-05-22,8000,0,0,0
2021-05-23,8000,0,0,0
2021-05-24,8000,0,0,0
2021-05-25,8000,0,0,0
2021-05-26,8000,0,0,0
2021-05-27,8000,0,0,0
2021-05-28,8000,0,0,0
2021-05-29,8000,0,0,0
2021-05-30,8000,0,0,0
2021-05-31,8000,0,0,0
2021-06-01,7500,0,0,0
2021-06-02,7500,0,0,0
2021-06-03,7500,0,0,0
2021-06-04,7500,0,0,0
2021-06-05,7500,0,0,0
2021-06-06,7500,0,0,0
2021-06-07,7500,0,0,0
2021-06-08,7500,0,0,0
2021-06-09,7500,0,0,0
2021-06-10,7500,0,0,0
2021-06-11,7500,0,0,0
2021-06-12,7500,0,0,0
2021-06-13,7500,0,0,0
2021-06-14,7500,0,0,0
2021-06-15,7500,0,0,0
2021-06-16,7500,0,0,0
2021-06-17,7500,0,0,0
2021-06-18,7500,0,0,0
2021-06-19,7500,0,0,0
2021-06-20,7500,0,0,0
2021-06-21,7500,0,0,0
2021-06-22,7500,0,0,0
2021-06-23,7498.77,0,0,0
2021-06-24,7500,0,0,0
2021-06-25,7500,0,0,0
2021-06-26,7500,0,0,0
2021-06-27,7500,0,0,0
2021-06-28,7500,0,0,0
2021-06-29,7500,0,0,0
2021-06-30,7500,0,0,0
2021-07-01,7500,0,0,0
2021-07-02,7500,0,0,0
2021-07-03,7500,0,0,0
2021-07-04,7500,0,0,0
2021-07-05,7498.43,0,0,0
2021-07-06,7500,0,0,0
2021-07-07,7498.85,0,0,0
2021-07-08,7500,0,0,0
2021-07-09,7500,0,0,0
2021-07-10,7500,0,0,0
2021-07-11,0,0,0,0
2021-07-12,0,0,0,0
2021-07-13,0,0,0,0
2021-07-14,0,0,0,0
2021-07-15,0,0,0,0
2021-07-16,0,0,0,0
2021-07-17,7500,0,0,0
2021-07-18,7499,0,0,0
2021-07-19,7498.85,0,0,0
2021-07-20,7498.85,0,0,0
2021-07-21,7500,0,0,0
2021-07-22,7499.45,0,0,0
2021-07-23,7499.25,0,0,0
2021-07-24,7500,0,0,0
2021-07-25,7500,0,0,0
2021-07-26,7500,0,0,0
2021-07-27,7499.32,0,0,0
2021-07-28,7499.42,0,0,0
2021-07-29,7499.3,0,0,0
2021-07-30,7499.16,0,0,0
2021-07-31,7500,0,0,0
2021-08-01,8500,0,0,0
2021-08-02,8500,0,0,0
2021-08-03,8500,0,0,0
2021-08-04,8500,0,0,0
2021-08-05,8500,0,0,0
2021-08-06,8500,0,0,0
2021-08-07,8500,0,0,0
2021-08-08,8500,0,0,0
2021-08-09,8500,0,0,0
2021-08-10,8500,0,0,0
2021-08-11,8500,0,0,0
2021-08-12,8500,0,0,0
2021-08-13,8500,0,0,0
2021-08-14,8500,0,0,0
2021-08-15,8499.39,0,0,0
2021-08-16,8500,0,0,0
2021-08-17,8500,0,0,0
2021-08-18,8500,0,0,0
2021-08-19,8500,0,0,0
2021-08-20,8500,0,0,0
2021-08-21,8500,0,0,0
2021-08-22,8499.34,0,0,0
2021-08-23,8498.79,0,0,0
2021-08-24,8500,0,0,0
2021-08-25,8498.84,0,0,0
2021-08-26,8499.36,0,0,0
2021-08-27,8500,0,0,0
2021-08-28,8500,0,0,0
2021-08-29,8500,0,0,0
2021-08-30,8500,0,0,0
2021-08-31,8500,0,0,0
2021-09-01,8149.11,0,0,0
2021-09-02,8149.12,0,0,0
2021-09-03,8149.07,0,0,0
2021-09-04,8147.79,0,0,0
2021-09-05,8149.04,0,0,0
2021-09-06,8150,0,0,0
2021-09-07,8148.18,0,0,0
2021-09-08,8149.13,0,0,0
2021-09-09,8148.68,0,0,0
2021-09-10,8149.4,0,0,0
2021-09-11,8148.66,0,0,0
2021-09-12,8149.24,0,0,0
2021-09-13,8149.13,0,0,0
2021-09-14,8150,0,0,0
2021-09-15,8149.41,0,0,0
2021-09-16,8149.4,0,0,0
2021-09-17,8150,0,0,0
2021-09-18,8150,0,0,0
2021-09-19,8149.27,0,0,0
2021-09-20,8149.23,0,0,0
2021-09-21,8149.08,0,0,0
2021-09-22,8149.24,0,0,0
2021-09-23,8150,0,0,0
2021-09-24,8149.24,0,0,0
2021-09-25,8149.4,0,0,0
2021-09-26,8150,0,0,0
2021-09-27,8150,0,0,0
2021-09-28,0,0,0,0
2021-09-29,6498.79,0,0,0
2021-09-30,8000,0,0,0
2021-10-01,8000,0,0,0
2021-10-02,8000,0,0,0
2021-10-03,8000,0,0,0
2021-10-04,8000,0,0,0
2021-10-05,8000,0,0,0
