Date,FPO1001,FPO1002,FPO2001,FPO2004,FPO2007,FPO2008
2021-02-28,,,16198.6105,256167.418,,49148.75678
2021-03-01,,,"15,072.28","297,186.16",,"60,944.46"
2021-03-02,,,"15,072.28","287,684.06",,"57,012.56"
2021-03-03,,,"14,744.63","283,424.50",,"67,497.63"
2021-03-04,,,"14,416.97","284,079.82",,"62,582.75"
2021-03-05,,,"237,552.33","281,130.90",,"61,272.11"
2021-03-06,,,"215,926.88","293,254.25",,"59,961.49"
2021-03-07,,,"189,058.89","256,228.85",,"32,765.84"
2021-03-08,,,"200,854.59","249,348.03",,"59,961.49"
2021-03-09,,,"200,526.93","252,296.96",,"61,272.11"
2021-03-10,,,"165,795.15","273,594.75",,"44,889.19"
2021-03-11,,,"220,186.43","266,058.61",,"60,944.46"
2021-03-12,,,"155,965.39","274,250.07",,"61,927.43"
2021-03-13,,,"145,480.32","265,403.30",,"61,272.11"
2021-03-14,,,"136,633.55","272,611.77",,"60,944.46"
2021-03-15,,,"138,599.50","281,786.22",,"61,272.11"
2021-03-16,,,"153,999.44","339,126.43",,"60,616.81"
2021-03-17,,,"192,007.82","319,139.26",,"61,272.11"
2021-03-18,,,"213,960.92","319,139.26",,"59,961.49"
2021-03-19,,,"165,139.83","316,518.00",,"61,272.11"
2021-03-20,,,"135,650.57","316,518.00",,"61,272.11"
2021-03-21,,,"143,842.03","280,147.92",,"20,642.48"
2021-03-22,,,"189,058.89","334,866.86",,"60,616.81"
2021-03-23,,,"194,956.74","333,556.24",,"59,633.83"
2021-03-24,,,"155,965.39","324,054.15",,"62,255.09"
2021-03-25,,,"158,259.00","309,964.83",,"60,289.15"
2021-03-26,,,"183,161.03","285,062.80",,"60,944.46"
2021-03-27,,,"205,114.15","305,049.96",,"33,093.50"
2021-03-28,,,"143,842.03","283,096.84",,"32,765.84"
2021-03-29,,,"175,624.90","320,449.90",,"61,272.11"
2021-03-30,,,"159,733.47","301,773.38",,"47,018.98"
2021-03-31,,,"167,679.18","311,111.64",,"54,145.55"
2021-04-01,,,"141,302.68","282,605.35",,"34,666.25"
2021-04-02,,,"156,751.77","267,156.27",,"71,216.55"
2021-04-03,,,"195,186.10","251,707.17",,"47,100.90"
2021-04-04,,,"200,461.40","258,489.70",,"42,579.20"
2021-04-05,,,"129,621.65","311,242.70",,"70,462.93"
2021-04-06,,,"179,360.20","328,575.83",,"70,839.75"
2021-04-07,,,"163,911.10","342,140.88",,"71,216.55"
2021-04-08,,,"162,780.68","327,445.40",,"103,998.77"
2021-04-09,,,"161,273.45","330,459.87",,"70,839.75"
2021-04-10,,,"168,432.80","315,010.77",,"70,839.75"
2021-04-11,,,"167,302.37","319,532.45",,"70,839.75"
2021-04-12,,,"164,664.72","319,532.45",,"70,839.75"
2021-04-13,,,"276,953.25","335,358.35",,"68,578.90"
2021-04-14,,,"314,633.97","309,358.67",,"70,462.93"
2021-04-15,,,"316,518.00","307,474.63",,"109,274.07"
2021-04-16,,,"278,083.67","274,315.60",,"72,346.97"
2021-04-17,,,"179,360.20","248,315.90",,"70,086.13"
2021-04-18,,,"188,403.57","247,185.48",,"72,346.97"
2021-04-19,,,"136,027.38","301,822.52",,"71,216.55"
2021-04-20,,,"218,924.95","325,561.37",,"70,462.93"
2021-04-21,,,"220,055.37","302,199.33",,"42,956.02"
2021-04-22,,,"229,852.35","319,532.45",,"68,578.90"
2021-04-23,,,"292,025.53","294,663.18",,"46,347.28"
2021-04-24,,,"232,490.00","319,155.65",,"46,347.28"
2021-04-25,,,"207,620.73","282,228.55",,"50,115.35"
2021-04-26,,,"259,996.93","292,779.15",,"45,216.85"
2021-04-27,,,"268,286.68","316,518.00",,"68,955.70"
2021-04-28,,,"186,519.53","329,706.25",,"71,216.55"
2021-04-29,,,"218,171.33","316,518.00",,"71,216.55"
2021-04-30,,,"224,325.85","320,914.09",,"70,462.93"
2021-05-01,,,"226,837.90","250,199.94",,"71,216.55"
2021-05-02,,,"224,200.25","252,837.59",,"38,811.14"
2021-05-03,,,"178,983.39","298,808.06",,"70,839.74"
2021-05-04,,,"247,562.29","328,575.83",,"70,462.94"
2021-05-05,,,"259,243.31","328,199.02",,"91,564.14"
2021-05-06,,,"243,040.61","279,967.71",,"44,086.44"
2021-05-07,,,"287,880.66","287,880.66",,"42,579.21"
2021-05-08,,,"235,127.66","289,387.89",,"20,347.59"
2021-05-09,,,"229,098.74","293,909.57",,"70,086.13"
2021-05-10,,,"285,619.81","290,895.11",,"71,970.16"
